arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
36,1500.000000,600,181026271.432647,181026271.432647,181026271.432647,181026271.432647,181026271.432647,181026271.432647,181026271.432647,181026271.432647
36,8000.000000,3000,986517532.321287,986517532.321287,986517532.321287,986517532.321287,986517532.321287,986517532.321287,986517532.321287,986517532.321287
36,300.000000,150,32020712.676601,32020712.676601,32020712.676601,32020712.676601,32020712.676601,32020712.676601,32020712.676601,32020712.676601
36,13.000000,262144,51046111.399347,51031471.366133,51031471.366133,51031471.366133,51031471.366133,51031471.366133,51031471.366133,51031471.366133
36,15.300000,32768,68780778.882901,68405800.168214,68405800.168214,68405800.168214,68405800.168214,68405800.168214,68405800.168214,68405800.168214
36,19.700000,4096,105300031.104337,105300031.104337,105300031.104337,105300031.104337,105300031.104337,105300031.104337,105300031.104337,105300031.104337
36,32.300000,512,181490639.285197,181490639.285197,181490639.285197,181490639.285197,181490639.285197,181490639.285197,181490639.285197,181490639.285197
36,90.000000,36,241994789.046195,242959425.741467,242747682.328383,244731299.242172,247025672.565647,247544313.156968,247686758.541189,246326101.263882
36,90.000000,27,244644962.965111,249370197.389584,251725765.205783,253531511.175450,253531307.741325,253531591.002160,253531591.002160,253531591.002160
36,90.000000,18,251205815.187060,251335868.145689,251335868.145689,251335868.145689,251335868.145689,251335868.145689,251335868.145689,251335868.145689
