arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
34,8000.000000,3000,994452537.847882,994452537.847882,994452537.847882,994452537.847882,994452537.847882,994452537.847882,994452537.847882,994452537.847882
34,300.000000,150,32738022.964476,32738022.964476,32738022.964476,32738022.964476,32738022.964476,32738022.964476,32738022.964476,32738022.964476
34,1500.000000,600,179910139.786217,179910139.786217,179910139.786217,179910139.786217,179910139.786217,179910139.786217,179910139.786217,179910139.786217
34,13.000000,262144,53551621.736203,53551621.736203,53551621.736203,53551621.736203,53551621.736203,53551621.736203,53551621.736203,53551621.736203
34,15.300000,32768,73820794.764438,73820794.764438,73820794.764438,73820794.764438,73820794.764438,73820794.764438,73820794.764438,73820794.764438
34,19.700000,4096,108508888.346623,108508888.346623,108508888.346623,108508888.346623,108508888.346623,108508888.346623,108508888.346623,108508888.346623
34,32.300000,512,189718332.859632,189718332.859632,189718332.859632,189718332.859632,189718332.859632,189718332.859632,189718332.859632,189718332.859632
34,90.000000,36,252791226.915860,253589928.431560,254239358.896151,254845754.970311,255370250.219462,255431752.011927,255431752.011927,255431752.011927
34,90.000000,27,254316590.922316,254664913.287707,255991616.986994,258696758.366727,261127925.338374,261128439.624262,261128439.624262,261077973.906170
34,90.000000,18,261279684.278858,261423862.410286,261423862.410286,261423862.410286,261423862.410286,261423862.410286,261423862.410286,261423862.410286
