arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
26,300.000000,150,33268673.424947,33268673.424947,33268673.424947,33268673.424947,33268673.424947,33268673.424947,33268673.424947,33268673.424947
26,8000.000000,3000,998265088.770513,998265088.770513,998265088.770513,998265088.770513,998265088.770513,998265088.770513,998265088.770513,998265088.770513
26,1500.000000,600,181305297.931099,181305297.931099,181305297.931099,181305297.931099,181305297.931099,181305297.931099,181305297.931099,181305297.931099
26,13.000000,262144,68353756.542428,68353756.542428,68353756.542428,68353756.542428,68353756.542428,68353756.542428,68353756.542428,68353756.542428
26,15.300000,32768,90934559.483455,90934559.483455,90934559.483455,90934559.483455,90934559.483455,90934559.483455,90934559.483455,90934559.483455
26,19.700000,4096,128213651.240506,128213651.240506,128213651.240506,128213651.240506,128213651.240506,128213651.240506,128213651.240506,128213651.240506
26,32.300000,512,209036864.004109,209036864.004109,209036864.004109,209036864.004109,209036864.004109,209036864.004109,209036864.004109,209036864.004109
26,90.000000,36,277811097.810891,277811097.810891,277811097.810891,277811097.810891,277811097.810891,277811097.810891,277811097.810891,277811097.810891
26,90.000000,27,287265135.638336,287524007.826610,287758288.442310,287823384.092957,287823384.092957,287823384.092957,287823384.092957,287823384.092957
26,90.000000,18,295053157.900492,295774297.476556,296939375.486991,297718922.041804,297718815.859226,297718975.054958,297718913.817290,297718913.343433
