arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
22,1500.000000,600,182216227.594203,182216227.594203,182216227.594203,182216227.594203,182216227.594203,182216227.594203,182216227.594203,182216227.594203
22,8000.000000,3000,993658791.540820,993658791.540820,993658791.540820,993658791.540820,993658791.540820,993658791.540820,993658791.540820,993658791.540820
22,300.000000,150,33215877.908281,33215877.908281,33215877.908281,33215877.908281,33215877.908281,33215877.908281,33215877.908281,33215877.908281
22,13.000000,262144,79268915.728127,79268915.728127,79268915.728127,79268915.728127,79268915.728127,79268915.728127,79268915.728127,79268915.728127
22,15.300000,32768,98327116.221855,98327116.221855,98327116.221855,98327116.221855,98327116.221855,98327116.221855,98327116.221855,98327116.221855
22,19.700000,4096,137165541.759477,137165541.759477,137165541.759477,137165541.759477,137165541.759477,137165541.759477,137165541.759477,137165541.759477
22,32.300000,512,218551250.801901,218551250.801901,218551250.801901,218551250.801901,218551250.801901,218551250.801901,218551250.801901,218551250.801901
22,90.000000,36,286648286.015625,286648286.015625,286648286.015625,286648286.015625,286648286.015625,286648286.015625,286648286.015625,286648286.015625
22,90.000000,27,299970605.112701,299981049.463916,299981049.463916,299981049.463916,299981049.463916,299981049.463916,299981049.463916,299981049.463916
22,90.000000,18,311746097.838593,312471387.627764,312792541.735686,313635915.478082,314250624.062986,314881300.518011,314671847.359520,313970232.568984
