arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
36,8000.000000,3000,980559795.018649,980559795.018649,980559795.018649,980559795.018649,980559795.018649,980559795.018649,980559795.018649,980559795.018649
36,300.000000,150,32010775.494157,32010775.494157,32010775.494157,32010775.494157,32010775.494157,32010775.494157,32010775.494157,32010775.494157
36,1500.000000,600,182838112.700961,182838112.700961,182838112.700961,182838112.700961,182838112.700961,182838112.700961,182838112.700961,182838112.700961
36,13.000000,262144,50740195.316712,50740195.316712,50740195.316712,50740195.316712,50740195.316712,50740195.316712,50740195.316712,50740195.316712
36,15.300000,32768,71024444.533420,71024444.533420,71024444.533420,71024444.533420,71024444.533420,71024444.533420,71024444.533420,71024444.533420
36,19.700000,4096,105902742.277846,105902742.277846,105902742.277846,105902742.277846,105902742.277846,105902742.277846,105902742.277846,105902742.277846
36,32.300000,512,181550288.133199,181550288.133199,181550288.133199,181550288.133199,181550288.133199,181550288.133199,181550288.133199,181550288.133199
36,90.000000,36,241264199.493633,242302181.730001,243678809.576996,244759933.829784,246531490.674295,247649967.938818,247615431.365499,245910423.341789
36,90.000000,27,243869642.666716,248869325.183491,251891609.457563,253150867.096336,253150458.191043,253150938.272974,253150938.272974,253149859.767899
36,90.000000,18,253084732.481948,253101489.208646,253101489.208646,253101489.208646,253101489.208646,253101489.208646,253101489.208646,253101489.208646
