frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,145673.081470,32317.000000,40.718546
4,565753.046117,231180.000000,476.674942
8,361291.013247,204713.000000,220.338376
16,325010.107404,153402.000000,168.606050
32,152060.513014,64696.000000,1041.757169
64,1099354.684688,267472.000000,32516.697895
128,559436.149132,287874.000000,1116.593032
256,921662.503647,155831.000000,4103.678472
512,522394.180123,241196.000000,40740.639232
1024,606054.078019,269532.000000,19337.204788
2048,222130.650841,56042.000000,13115.286043
4096,389764.354612,115518.000000,127277.966966
8192,1013340.360231,221429.000000,99473.662861
16384,412460.190804,136408.000000,299361.895212
32768,485283.628739,188804.000000,0.000000
65536,2066978.073166,237660.000000,1176215.275248
