frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,197382.388211,50572.000000,3269.717725
4,297732.216243,176338.000000,474.254151
8,211159.198237,120141.000000,245.008163
16,433709.092041,229336.000000,161.183126
32,429750.517659,207909.000000,336.897611
64,143518.413805,50602.000000,458.389572
128,454310.661245,202769.000000,12765.524196
256,1322659.067851,119219.000000,2866.984827
512,364848.762011,215777.000000,3024.170630
1024,596979.433260,241214.000000,15880.757129
2048,298572.929657,160237.000000,8363.522045
4096,489602.274067,219085.000000,265816.743750
8192,540866.018611,270875.000000,169505.430013
16384,819018.627585,232966.000000,321200.466491
32768,623971.703540,57452.000000,587717.716219
65536,304014.963523,114794.000000,223194.586791
