frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,174024.237180,55138.000000,41.048752
4,147891.089982,65359.000000,514.539600
8,200912.562828,52011.000000,220.004545
16,115494.428861,49281.000000,101.823376
32,239655.377355,58624.000000,835.356810
64,380789.675099,87086.000000,8703.093358
128,300667.774888,73490.000000,4090.001956
256,92452.900063,20648.000000,13781.328564
512,629838.452986,166501.000000,4090.639070
1024,429694.689193,195275.000000,32401.957734
2048,786874.477060,279997.000000,30081.863357
4096,222264.461892,113725.000000,9142.973750
8192,769740.179307,178247.000000,216754.582062
16384,3130213.600048,278038.000000,2784241.009698
32768,594221.907223,200127.000000,379364.515323
65536,223983.774441,118088.000000,0.000000
