frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,88501.450869,27860.000000,54.277067
4,183611.013956,62426.000000,131.312604
8,394874.546249,223415.000000,629.591137
16,359319.927655,156681.000000,308.335856
32,230363.757542,120091.000000,557.308712
64,540824.520731,212019.000000,36806.222042
128,501972.608400,283479.000000,1335.310825
256,540560.784949,270116.000000,38390.146301
512,441616.853076,189979.000000,152692.872149
1024,458646.172042,206358.000000,5459.838551
2048,601832.127333,253254.000000,43568.156812
4096,473105.720299,132534.000000,49865.823677
8192,610395.236593,176493.000000,316410.533033
16384,588544.019963,201851.000000,314280.554287
32768,1428214.111700,204140.000000,749506.664122
65536,162115.493217,48722.000000,72822.868393
