frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,237207.300904,134487.000000,2102.310871
4,96453.900657,26623.000000,1187.234181
8,124567.528947,63819.000000,243.799098
16,186729.488070,36323.000000,439.923857
32,240685.400822,99976.000000,466.637975
64,321644.599958,115880.000000,1769.229776
128,437876.540022,257944.000000,1863.280172
256,322904.799223,182350.000000,4987.724832
512,584012.691810,238301.000000,211096.752858
1024,469374.914388,202728.000000,7683.387990
2048,437791.641483,221571.000000,77017.447867
4096,403340.131830,188145.000000,129183.660147
8192,754450.664571,209888.000000,231405.801675
16384,1302152.928802,204562.000000,511423.459422
32768,600816.848733,271889.000000,86208.581232
65536,2095077.357575,224298.000000,2009549.638265
