frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,21373250.044432573,1048952
4,291671.65120731224,197676
8,487234.9206481407,436362
16,21885911.39227035,1103573
32,38541557.5516129,1600628
64,22091957.160123523,1072388
128,21988120.711704537,1040071
256,39109584.646684706,1573579
512,40188963.86655354,1699120
1024,38629766.25427744,1735751
2048,37964936.39676636,1653162
4096,494897.2477070367,351362
8192,660953.7381791557,336673
16384,164014.2688396348,94982
32768,418713.3174619599,239752
65536,18703520.258572876,981677
