frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,21231088.197462372,1101400
4,38644165.45549593,1604568
8,449667.2898099216,248953
16,38912138.28490485,1736610
32,21208233.282283533,1108317
64,39380585.0121128,1794118
128,695698.1840582883,414006
256,21677990.64277287,1032908
512,25621220.181716267,1094056
1024,42410908.28291527,1642688
2048,984875.3268800067,601872
4096,1036535.0823416447,509005
8192,51204917.687183835,1671350
16384,16335675.241920672,981070
32768,323933.1887164389,260180
65536,17282787.208618376,1130645
