frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,37297994.43991742,1639704
4,237898.57217099896,160584
8,249375.54607659508,160205
16,39311540.74427255,1739804
32,37931085.188735925,1841564
64,133404.09805549454,62365
128,22392782.406916365,1105251
256,21684039.01495199,1043599
512,21024051.745536134,1208931
1024,37718934.524142675,1588705
2048,24786806.958991956,1081544
4096,38851294.87770926,1573648
8192,303178.34965412685,147643
16384,31637327.637271103,1140932
32768,38093856.87410465,1485006
65536,13405707.69085672,1116818
