frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,21868385.757896192,1089539
4,38017391.30868044,1649055
8,38981876.19246355,1701076
16,864737.2491832417,605086
32,21262215.33441466,1085510
64,23215470.90138893,1156411
128,38657042.228418484,1701110
256,864133.1484534082,579742
512,21979221.18733339,1119043
1024,38809340.52094999,1563729
2048,724739.2221144099,472001
4096,1176000.1380306042,414506
8192,24646684.872018043,1091396
16384,35145309.971931174,1648717
32768,17753909.0794941,1156660
65536,50979038.77009049,1486282
