frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,39290835.31405135,1813483
4,208599.6894412837,137396
8,22289898.375874575,1099859
16,22582208.921653282,1121352
32,785624.6513488486,481463
64,760365.202966969,581431
128,23600616.2564014,1147112
256,22418806.443833534,1043126
512,1116679.7092129865,604197
1024,21525176.300359007,1149532
2048,21196296.933485057,1085856
4096,629505.9814966018,272306
8192,18708031.102879185,1166135
16384,22388342.80488708,1172218
32768,11164545.26927183,1036549
65536,34810051.55688107,1662734
