frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,38596852.501792476,1737697
4,39041149.84365569,1727826
8,37429870.5490674,1519456
16,453401.2513105803,265254
32,995616.1226476799,554584
64,21155314.312065776,1086367
128,429481.39488341054,278625
256,38130738.220879704,1727596
512,39014915.58510203,1568572
1024,41307062.78489997,1616876
2048,29076220.800301626,1168878
4096,20908075.96760125,1109549
8192,35783290.690979525,1638958
16384,42653676.38312801,1580295
32768,33940314.34591203,1563359
65536,58441800.732921004,1744186
