frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,372990.4819777577,298237
4,22222014.366630964,1132928
8,20979524.579614285,1020356
16,39342488.26596577,1633948
32,491829.496227097,424813
64,22652540.49315882,1094081
128,20885582.612886,1277839
256,23988884.282992862,1074758
512,42894652.09076353,1782480
1024,20917920.422035336,1187071
2048,19763145.869857535,1165854
4096,19641271.85460659,1199595
8192,1025991.0972113744,381908
16384,2106219.433298914,408626
32768,441015.4031958521,262730
65536,12303068.458369197,1041224
