frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,227703.56503357604,160384
4,19988619.05864192,1043188
8,21868495.44057062,1150668
16,22202032.411819015,1039521
32,471752.34309645987,297906
64,37746130.7107953,1550298
128,22215711.818614297,1163341
256,40580325.23136839,1772291
512,37117522.25633763,1682934
1024,38783580.76740968,1707746
2048,37299666.53238647,1611277
4096,32748051.926035997,1470340
8192,27792570.006026287,1192496
16384,42214465.641471006,1688717
32768,62188767.828593425,1591049
65536,55001494.823401615,1731113
