frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,37980769.05745348,1804504
4,773415.5729321721,658595
8,38207329.29895712,1600246
16,38944557.351655945,1629251
32,1195679.574253905,579329
64,613863.178000603,469594
128,37674303.107533775,1729630
256,38375779.48183135,1733258
512,41559674.28490616,1663737
1024,39290020.70152902,1457203
2048,24003558.083646413,1020638
4096,32452017.82083379,1633777
8192,782294.8895346307,576425
16384,1483243.9172378224,560542
32768,545704.0666414353,479513
65536,432610.57506145176,366609
