frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,368068.5179664243,305113
4,21543611.702402525,1069222
8,20968636.27066088,1144912
16,340755.03557834623,256338
32,22578926.33080515,1004203
64,482777.844754707,252004
128,21831402.74985664,1085904
256,38325900.028061934,1620861
512,622642.0966703102,472184
1024,22039243.695981834,1178144
2048,19957604.867180705,1090669
4096,1061655.88024463,533257
8192,21512958.82319959,1029361
16384,33460956.562861856,1061241
32768,3771854.290219202,505830
65536,9560635.941704191,1125688
