batch,Dynamic,Dynamic_BAL,RFDynamic
1,2741.8747,2741.8747,1849.6759
2,1787.9466,1787.9466,1761.5567
3,2274.3280,2274.3280,2274.3280
4,1247.0265,1247.0265,1247.0265
5,1902.9246,1902.9246,1902.9246
6,1373.1427,1373.1427,1373.1427
7,2304.0393,2304.0393,2304.0393
8,6695.5061,6695.5061,6695.5061
9,9369.2660,9369.2660,9369.2660
10,7899.5083,7899.5083,7899.5083
11,6090.7646,6090.7646,6090.7646
12,5631.1173,5631.1173,5631.1173
13,6453.6504,6453.6504,6453.6504
14,5602.0302,5602.0302,5602.0302
15,7166.9391,7166.9391,7166.9391
16,4212.7506,4212.7506,4212.7506
17,2548.9253,2548.9253,2548.9253
18,742.9011,742.9011,742.9011
19,1900.1913,1900.1913,1900.1913
20,2914.2975,2914.2975,2914.2975
21,1877.4477,1877.4477,1877.4477
22,1247.9147,1247.9147,1247.9147
23,1695.7117,1695.7117,1695.7117
24,2121.4837,2121.4837,2121.4837
25,1907.2202,1907.2202,1907.2202
26,4397.5596,4397.5596,4397.5596
27,4375.5856,4375.5856,4375.5856
28,2679.6963,2679.6963,2679.6963
29,4540.8431,4540.8431,4540.8431
30,7733.2598,7733.2598,7733.2598
31,8142.5457,8142.5457,8142.5457
32,6295.9852,6295.9852,6295.9852
33,5898.4495,5898.4495,5898.4495
34,6669.4638,6669.4638,6669.4638
35,8360.1722,8360.1722,8360.1722
36,9056.2031,9056.2031,9056.2031
37,12548.5744,12548.5744,12548.5744
38,11465.7783,11465.7783,11465.7783
39,11257.1161,11257.1161,11257.1161
40,4472.2523,4472.2523,4472.2523
41,6224.3786,6224.3786,6224.3786
42,5983.9870,5983.9870,5983.9870
43,4334.2299,4334.2299,4334.2299
44,1779.5322,1779.5322,1779.5322
45,1107.6647,1107.6647,1107.6647
46,2342.4321,2342.4321,2342.4321
47,3033.1767,3033.1767,3033.1767
48,6541.5767,6541.5767,6541.5767
49,7790.2853,7790.2853,7790.2853
50,7712.5408,7712.5408,7712.5408
51,3668.1414,3668.1414,3668.1414
52,354.3953,354.3953,354.3953
53,879.1775,879.1775,879.1775
54,1390.0360,1390.0360,1390.0360
55,16175.8337,16175.8337,16175.8337
56,10059.2399,10059.2399,10059.2399
57,6415.7217,6415.7217,6415.7217
58,3525.9858,3525.9858,3525.9858
59,1492.7960,1492.7960,1492.7960
60,767.2366,767.2366,767.2366
61,665.8551,665.8551,665.8551
62,2469.7765,2469.7765,2434.8984
63,14085.3952,14085.3952,20730.4176
64,3931.9259,3931.9259,7161.5931
65,5138.1228,5138.1228,3772.6104
66,1341.4895,1341.4895,1478.4458
67,75434.5028,75434.5028,108436.2542
68,16731.8478,16731.8478,14815.1014
69,4220.4410,4220.4410,4755.0973
70,4889.9381,4889.9381,1216.8410
71,7836.1278,7836.1278,1389.2376
72,4361.1834,4361.1834,2846.7552
73,5447.4798,5447.4798,852.1449
74,18484.6718,18484.6718,78500.5632
75,19279.1255,19279.1255,22692.0650
76,3012.7308,3012.7308,3401.2665
77,22935.3882,22935.3882,42270.3057
78,139258.7985,139258.7985,149611.1636
79,3954.6996,3954.6996,928.7023
80,13003.1094,13003.1094,6197.3917
81,2976.4993,2976.4993,2387.9814
82,2958.4210,2958.4210,1176.1386
83,14682.9416,14682.9416,268.8922
84,5365.1298,5365.1298,656.9711
85,19576.9252,19576.9252,1702.6227
86,3104.3244,3104.3244,926.8069
87,8573.1482,8573.1482,4806.2739
88,3897.4957,3897.4957,804.5663
89,21003.9609,21003.9609,4170.5742
90,3806.5371,3806.5371,985.4430
91,2828.7785,2828.7785,919.0789
92,5210.2123,5210.2123,1012.5922
93,4045.6018,4045.6018,700.4149
94,9985.3312,9985.3312,449.1047
95,7609.9612,7609.9612,377.9987
96,8950.3976,8950.3976,13594.5527
97,1634.4201,1634.4201,1445.7396
98,2196.8846,2196.8846,2878.6860
99,18508.6192,18508.6192,2113.3887
100,4943.7517,4943.7517,2076.7154
