frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2406305.645846,247787.000000,44911.626245
4,2478714.923613,257316.000000,15172.568701
8,34441495.764626,600581.000000,682657.060125
16,34375061.226206,600560.000000,1304693.834539
32,34326759.174867,602223.000000,979119.849489
64,4381456.788419,292294.000000,289777.307878
128,3460559.132984,273216.000000,157761.907395
256,35192482.940678,604357.000000,3093390.711717
512,4127038.019048,281316.000000,610256.760539
1024,34629671.155591,603458.000000,3146135.758627
2048,59089399.674787,904813.000000,11709419.552749
4096,3925523.314336,304159.000000,1413122.831191
8192,34365549.421848,602325.000000,15636237.255476
16384,34558617.452306,606065.000000,9272064.135129
32768,36844104.390636,606406.000000,16965838.492266
65536,33373140.072765,606388.000000,18499264.667562
