frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,57741202.014106,890266.000000,1216138.132781
4,34357199.307222,603985.000000,620863.045797
8,3417414.482961,288395.000000,56352.130075
16,34531870.514956,603582.000000,1193565.146159
32,34705641.852558,606703.000000,923515.476251
64,3502891.294673,289352.000000,200199.869306
128,34790283.327715,603900.000000,2063191.257840
256,35127363.421545,596417.000000,2559995.114526
512,4568392.287339,288018.000000,648896.450239
1024,57925479.597160,891799.000000,9081192.164063
2048,58375886.627627,903722.000000,12496913.630773
4096,57996341.430409,890429.000000,10681681.031153
8192,5499314.101462,148678.000000,2318645.301047
16384,58341255.451637,895135.000000,15446400.318506
32768,4691179.716737,217402.000000,2281794.903039
65536,61242064.609136,902007.000000,33858246.412147
