frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,57678639.087752,890349.000000,665891.353091
4,2161330.059338,296285.000000,92.000000
8,57848228.068443,888286.000000,1117298.944760
16,58300197.379744,892092.000000,1890968.029726
32,35075133.546637,542346.000000,1021573.003648
64,35481190.169991,608840.000000,1364589.416894
128,3606593.803302,292736.000000,148761.902445
256,35035932.113260,605125.000000,2891156.205733
512,35566778.130092,605660.000000,3018359.610477
1024,58840013.856755,891797.000000,8857993.666422
2048,6362662.033815,298036.000000,328503.920608
4096,1279210.098241,92827.000000,217229.633075
8192,35436043.051852,608742.000000,12244314.235479
16384,57920020.486736,887709.000000,21428408.736738
32768,8002863.323130,294259.000000,3158153.433336
65536,2129636.357219,165370.000000,96754.134180
