frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2283633.843423,301416.000000,14993.026146
4,34390303.276942,586321.000000,659038.472301
8,57052630.657412,885269.000000,1453470.741742
16,34981968.125190,604481.000000,966577.888981
32,57693315.330869,903162.000000,2050310.809125
64,34536289.960975,601401.000000,1847214.783182
128,58327467.757702,907291.000000,3113274.599668
256,6102050.135153,299477.000000,400150.800550
512,58981621.712938,891280.000000,6305242.768433
1024,5405164.836379,284451.000000,783661.288463
2048,4003483.012870,304051.000000,539514.249619
4096,57611335.241394,905169.000000,10825944.764289
8192,35351249.774262,606174.000000,6291801.177901
16384,34213868.088260,606910.000000,13609523.675029
32768,56617475.435427,881729.000000,28423866.503459
65536,35096178.079355,606640.000000,17319739.867757
