arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs1_mode1_L2_norm_flow_time
40,7.918000,512,4907.012329
40,4.073000,262144,14925.875150
40,5.649000,4096,21938.670607
40,4.639000,32768,4230.459431
40,16.772000,64,3930.517396
