arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs1_mode1_L2_norm_flow_time
40,16.772000,64,4151.161042
40,5.649000,4096,21437.141111
40,4.639000,32768,10707.248246
40,7.918000,512,5054.708300
40,4.073000,262144,14025.741442
