frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,97296433.0505839,848173.8
4,142840166.1850163,1258840.7
8,104446747.5297038,900148.2
16,146359107.18612963,1268621.4
32,149815146.5171153,1260646.9
64,129366331.0421396,1125250.6
128,101389168.3173329,881132.1
256,88812331.58452061,781357.2
512,216676973.3828032,1867166.8
1024,148167817.10316437,1270078.6
2048,163665374.68408972,1434972.6
4096,131552294.8406872,1164419.4
8192,160772545.026402,1392853.1
16384,110535518.74408779,962224.0
32768,165325492.7983346,1431597.9
65536,138082538.19728488,1201315.0
