arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time
20,8.5,262144,42980912.2653753
20,9.8,32768,57798070.660267994
20,12.4,4096,86409158.32215218
20,18.9,512,146250386.8800966
20,56.3,64,186855520.8238649
22,8.5,262144,36882122.9397169
22,9.8,32768,51923997.2923687
22,12.4,4096,80626646.7394211
22,18.9,512,140294120.03637248
22,56.3,64,177751446.5901246
24,8.5,262144,31755672.283254404
24,9.8,32768,46275037.3874482
24,12.4,4096,75143182.41563909
24,18.9,512,134267713.2253882
24,56.3,64,168258408.4575331
26,8.5,262144,26912244.940100096
26,9.8,32768,39890615.7873549
26,12.4,4096,68408354.8870953
26,18.9,512,127315289.282433
26,56.3,64,159044906.4592287
28,8.5,262144,22837476.676447302
28,9.8,32768,34304552.5839682
28,12.4,4096,62934322.2656824
28,18.9,512,119813118.14777479
28,56.3,64,149712767.5737142
30,8.5,262144,20437469.9758344
30,9.8,32768,30424744.4085492
30,12.4,4096,55990236.35223991
30,18.9,512,113477725.0737704
30,56.3,64,140787173.8006655
32,8.5,262144,18377256.4704685
32,9.8,32768,27264494.802810002
32,12.4,4096,51251369.548740804
32,18.9,512,106428554.2995622
32,56.3,64,131800913.5897794
34,8.5,262144,16139689.560153399
34,9.8,32768,24577445.2220878
34,12.4,4096,44303704.878972195
34,18.9,512,98351491.7635525
34,56.3,64,122233589.47076079
36,8.5,262144,15218138.5421887
36,9.8,32768,21431096.151084498
36,12.4,4096,39238626.3047037
36,18.9,512,90379684.3176578
36,56.3,64,113160836.3793886
38,8.5,262144,12327537.9536133
38,9.8,32768,19049891.873143997
38,12.4,4096,35028473.888187304
38,18.9,512,83199376.38169602
38,56.3,64,103433031.1031261
40,8.5,262144,9954649.1976984
40,9.8,32768,17392556.690855797
40,12.4,4096,30694057.075108092
40,18.9,512,75250127.83193631
40,56.3,64,94297943.86250441
