arrival_rate,RDYNAMIC/RR_ratio,RDYNAMIC/SRPT_ratio,RDYNAMIC/SETF_ratio,RDYNAMIC/FCFS_ratio,RDYNAMIC/RMLF_ratio
20,0.5796498483215372,1.716264189964645,0.8986530467916867,0.975241588467311,1.0284903090132758
22,0.5751251697061689,1.846700877612669,0.9392770164940598,0.964047556525474,1.1070496190888601
24,0.4726463657983708,1.8054794512607413,0.7786900975720745,0.7736558671158116,1.0771025622139778
26,0.4796910788008754,1.9907540504019927,0.9601898641517633,0.8309504398864268,1.1807638311129065
28,0.36936701066889055,1.8194636697397508,0.6137937231298143,0.6122586035514969,1.0958475340083678
30,0.42430742883176437,1.9128272369878034,0.8580334840256215,0.9479142856472736,1.1033943323344824
32,0.37648897771522566,1.8710899119432018,0.8382910103593271,0.8451725555951104,1.094196112679965
34,0.17535836108627031,1.7212070164936477,0.46549839539951443,0.24390436033670956,1.0330175517696998
36,0.28257516961247114,1.9986140966836303,1.0547790095454967,0.7501847158316667,1.1657269064020994
38,0.30850190537283506,2.039436031194526,0.9087595173775966,0.6896834158744355,1.2041428051022753
40,0.26174797028643976,2.1314926979345414,1.1823586473954768,0.8525319576307588,1.179401002063204
