frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,133616754.6846008,1161355.4
4,137478630.5031856,1172220.6
8,134606101.6814971,1156798.4
16,138344094.92451,1203775.8
32,136575071.6944969,1199716.3
64,140364811.8441864,1210451.2
128,139572780.6425322,1214693.1
256,141057264.2870898,1217235.2
512,140599798.8934207,1221314.7
1024,138223575.1111188,1195485.0
2048,144931932.6642547,1233832.7
4096,149810764.1513568,1291750.2
8192,140457435.7912103,1202914.5
16384,147750541.2750313,1249111.4
32768,133246258.1597707,1149659.1
65536,119262290.1477218,1055057.3
