arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage
20.0,4.07,262144,0.275,99.725
20.0,4.64,32768,0.425,99.575
20.0,5.65,4096,0.425,99.575
20.0,7.92,512,0.8,99.2
20.0,16.77,64,97.625,2.375
20.0,30.0,6,99.75,0.25
20.0,30.0,9,99.75,0.25
20.0,30.0,12,99.175,0.825
20.0,50.0,25,2.5,97.5
20.0,250.0,100,0.0,100.0
20.0,1000.0,400,0.0,100.0
22.0,4.07,262144,0.125,99.875
22.0,4.64,32768,0.2,99.8
22.0,5.65,4096,0.3,99.7
22.0,7.92,512,0.975,99.025
22.0,16.77,64,99.075,0.925
22.0,30.0,6,99.75,0.25
22.0,30.0,9,99.75,0.25
22.0,30.0,12,99.7,0.3
22.0,50.0,25,9.25,90.75
22.0,250.0,100,0.0,100.0
22.0,1000.0,400,0.0,100.0
24.0,4.07,262144,0.325,99.675
24.0,4.64,32768,0.15,99.85
24.0,5.65,4096,0.425,99.575
24.0,7.92,512,1.15,98.85
24.0,16.77,64,99.5,0.5
24.0,30.0,6,99.75,0.25
24.0,30.0,9,99.75,0.25
24.0,30.0,12,99.7,0.3
24.0,50.0,25,24.25,75.75
24.0,250.0,100,0.0,100.0
24.0,1000.0,400,0.0,100.0
26.0,4.07,262144,0.175,99.825
26.0,4.64,32768,0.075,99.925
26.0,5.65,4096,0.15,99.85
26.0,7.92,512,0.85,99.15
26.0,16.77,64,99.55,0.45
26.0,30.0,6,99.75,0.25
26.0,30.0,9,99.75,0.25
26.0,30.0,12,99.675,0.325
26.0,50.0,25,44.0,56.0
26.0,250.0,100,0.0,100.0
26.0,1000.0,400,0.0,100.0
28.0,4.07,262144,0.15,99.85
28.0,4.64,32768,0.25,99.75
28.0,5.65,4096,0.25,99.75
28.0,7.92,512,1.075,98.925
28.0,16.77,64,99.55,0.45
28.0,30.0,6,99.75,0.25
28.0,30.0,9,99.75,0.25
28.0,30.0,12,99.5,0.5
28.0,50.0,25,65.5,34.5
28.0,250.0,100,0.0,100.0
28.0,1000.0,400,0.0,100.0
30.0,4.07,262144,0.325,99.675
30.0,4.64,32768,0.325,99.675
30.0,5.65,4096,0.125,99.875
30.0,7.92,512,0.725,99.275
30.0,16.77,64,99.5,0.5
30.0,30.0,6,99.75,0.25
30.0,30.0,9,99.725,0.275
30.0,30.0,12,99.5,0.5
30.0,50.0,25,78.75,21.25
30.0,250.0,100,0.0,100.0
30.0,1000.0,400,0.0,100.0
32.0,4.07,262144,0.4,99.6
32.0,4.64,32768,0.275,99.725
32.0,5.65,4096,0.075,99.925
32.0,7.92,512,0.725,99.275
32.0,16.77,64,98.925,1.075
32.0,30.0,6,99.75,0.25
32.0,30.0,9,99.7,0.3
32.0,30.0,12,99.3,0.7
32.0,50.0,25,87.0,13.0
32.0,250.0,100,0.0,100.0
32.0,1000.0,400,0.0,100.0
34.0,4.07,262144,0.425,99.575
34.0,4.64,32768,0.3,99.7
34.0,5.65,4096,0.15,99.85
34.0,7.92,512,0.575,99.425
34.0,16.77,64,98.525,1.475
34.0,30.0,6,99.75,0.25
34.0,30.0,9,99.675,0.325
34.0,30.0,12,98.35,1.65
34.0,50.0,25,94.0,6.0
34.0,250.0,100,0.0,100.0
34.0,1000.0,400,0.0,100.0
36.0,4.07,262144,0.35,99.65
36.0,4.64,32768,0.175,99.825
36.0,5.65,4096,0.15,99.85
36.0,7.92,512,0.6,99.4
36.0,16.77,64,97.6,2.4
36.0,30.0,6,99.75,0.25
36.0,30.0,9,99.55,0.45
36.0,30.0,12,97.375,2.625
36.0,50.0,25,94.75,5.25
36.0,250.0,100,0.0,100.0
36.0,1000.0,400,0.0,100.0
38.0,4.07,262144,0.45,99.55
38.0,4.64,32768,0.475,99.525
38.0,5.65,4096,0.225,99.775
38.0,7.92,512,0.85,99.15
38.0,16.77,64,96.075,3.925
38.0,30.0,6,99.75,0.25
38.0,30.0,9,99.275,0.725
38.0,30.0,12,95.9,4.1
38.0,50.0,25,95.75,4.25
38.0,250.0,100,0.0,100.0
38.0,1000.0,400,0.0,100.0
40.0,4.07,262144,0.5,99.5
40.0,4.64,32768,0.4,99.6
40.0,5.65,4096,0.225,99.775
40.0,7.92,512,0.525,99.475
40.0,16.77,64,94.675,5.325
40.0,30.0,6,99.625,0.375
40.0,30.0,9,98.825,1.175
40.0,30.0,12,94.9,5.1
40.0,50.0,25,96.5,3.5
40.0,250.0,100,0.0,100.0
40.0,1000.0,400,0.0,100.0
