arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs1_mode1_L2_norm_flow_time
20,4.073,262144,4744535.511048799
20,4.639,32768,7710612.0370334
20,5.649,4096,14099078.6330441
20,7.918,512,28107413.062505502
20,16.772,64,58690444.26147239
20,30.0,6,67637341.7709153
20,30.0,9,64416919.36738181
20,30.0,12,61460487.3876767
20,50.0,25,4235380.0352288
20,250.0,100,28940133.277268
20,1000.0,400,120695230.94432577
22,4.073,262144,3064170.1726642
22,4.639,32768,5739021.3864548
22,5.649,4096,11046801.4967152
22,7.918,512,23897743.154779606
22,16.772,64,52415355.651823096
22,30.0,6,60751998.886821605
22,30.0,9,57836181.939798094
22,30.0,12,54981254.658278205
22,50.0,25,4054844.2642398
22,250.0,100,28564899.110571105
22,1000.0,400,121337947.1879256
24,4.073,262144,2278430.7861729
24,4.639,32768,4104136.2117866003
24,5.649,4096,8266570.3318230985
24,7.918,512,19229349.646085396
24,16.772,64,44940569.1541609
24,30.0,6,53505041.0941398
24,30.0,9,49865522.0009573
24,30.0,12,47537747.73452839
24,50.0,25,3891045.0569699006
24,250.0,100,28565367.9187025
24,1000.0,400,120702843.72296071
26,4.073,262144,1345866.9353196
26,4.639,32768,2740062.8426666996
26,5.649,4096,5899984.1857324
26,7.918,512,14758458.107897902
26,16.772,64,37069002.151761904
26,30.0,6,43410628.90800359
26,30.0,9,40984006.429505095
26,30.0,12,38953026.5253856
26,50.0,25,3747530.2975912006
26,250.0,100,28304169.917507898
26,1000.0,400,120705340.0830472
28,4.073,262144,1018514.9278327001
28,4.639,32768,1521996.1345038998
28,5.649,4096,3913069.3871414997
28,7.918,512,10279950.044315401
28,16.772,64,26435134.700062897
28,30.0,6,31095156.8185853
28,30.0,9,29728715.8396276
28,30.0,12,27851337.6715038
28,50.0,25,3572152.2147266
28,250.0,100,28176339.081370097
28,1000.0,400,120042016.3147661
30,4.073,262144,874781.3306669
30,4.639,32768,1176082.7422109998
30,5.649,4096,1427694.2094251998
30,7.918,512,3737213.445477399
30,16.772,64,10623022.120526502
30,30.0,6,12844406.4906012
30,30.0,9,12064175.796673499
30,30.0,12,11441936.9562803
30,50.0,25,3376192.9321622
30,250.0,100,28065726.031225104
30,1000.0,400,119636487.4782696
32,4.073,262144,652977.5663127999
32,4.639,32768,566594.3064214
32,5.649,4096,424807.7494961
32,7.918,512,374041.34934109997
32,16.772,64,209556.10287969996
32,30.0,6,248567.9347533
32,30.0,9,267949.38364240003
32,30.0,12,275238.0664058
32,50.0,25,3192964.3566377005
32,250.0,100,27754315.0542112
32,1000.0,400,119735189.74779491
34,4.073,262144,433805.8054394
34,4.639,32768,406274.36192730005
34,5.649,4096,217002.714628
34,7.918,512,116855.90903659999
34,16.772,64,84191.20470490001
34,30.0,6,84713.3383129
34,30.0,9,89954.89637200002
34,30.0,12,89521.8638076
34,50.0,25,2998467.0503655
34,250.0,100,27631396.8201435
34,1000.0,400,119543390.4385482
36,4.073,262144,386684.3196682
36,4.639,32768,288419.0982884
36,5.649,4096,141437.8617782
36,7.918,512,72287.7300735
36,16.772,64,47671.27940340001
36,30.0,6,50622.6981764
36,30.0,9,50451.8373402
36,30.0,12,50736.3985245
36,50.0,25,2808924.0004853
36,250.0,100,27423092.9419687
36,1000.0,400,119088992.00084229
38,4.073,262144,378481.7996291
38,4.639,32768,280079.04585
38,5.649,4096,106147.4442226
38,7.918,512,50946.270652800005
38,16.772,64,34438.6857466
38,30.0,6,34708.8968684
38,30.0,9,34831.0433138
38,30.0,12,34235.064348500004
38,50.0,25,2586549.3346019997
38,250.0,100,27271069.3800473
38,1000.0,400,119758547.80712542
40,4.073,262144,377949.4279881
40,4.639,32768,176098.15158959996
40,5.649,4096,85389.0733277
40,7.918,512,43485.0977021
40,16.772,64,26983.675615099997
40,30.0,6,26686.821319500003
40,30.0,9,26345.0761717
40,30.0,12,27944.242244200002
40,50.0,25,2392465.4269306
40,250.0,100,27042606.819277804
40,1000.0,400,119075527.85482149
