frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time,Dynamic_BAL_njobs100_mode7_maximum_flow_time,Dynamic_BAL_njobs100_mode8_maximum_flow_time
2,76031912.5705044,74231612.3074983,73912867.4653044,73911698.6167698,73918546.8011189,73895145.0375352,73895145.0375352,73895145.0375352,2155897.2,2206066.5,2221198.7,2221198.7,2221198.7,2221198.7,2221198.7,2221198.7
4,76685240.3862756,74979688.59923251,74597485.1207618,74559480.64796379,74599898.8558796,74536147.2494609,74536147.2494609,74536147.2494609,2183503.1,2229545.6,2241690.4,2241690.4,2238150.1,2241690.4,2241690.4,2241690.4
8,78835820.63881479,75044692.20963581,74616227.9726305,74625693.6312208,74747883.6052797,74614455.47244659,74617282.4840548,74617262.798189,2036047.8,2177580.2,2198579.1,2198579.1,2190094.1,2198579.1,2198579.1,2198579.1
16,77308116.5960765,76357600.22874661,76075512.5308917,76061511.4906309,76061486.14323649,75963229.233125,75963229.233125,75963229.233125,2165689.3,2195311.1,2195311.1,2195311.1,2195311.1,2195311.1,2195311.1,2195311.1
32,77788492.8955273,76509366.6934965,75879938.1216802,75867630.4529355,75867630.4529355,75863540.61397961,75874980.3549718,75870890.5160159,2162900.2,2191641.6,2195373.6,2195373.6,2195373.6,2195373.6,2195373.6,2195373.6
64,77948687.1407643,76886316.68759981,76444188.65325761,76451230.0567274,76595197.88929519,76441719.0603513,76441719.0603513,76441719.0603513,2231772.6,2248070.8,2250391.4,2250391.4,2248070.8,2250391.4,2250391.4,2250391.4
128,78940079.2892237,77810943.7380872,77404716.5122578,77375089.0584401,77407068.7269943,77375089.0584401,77375089.0584401,77375089.0584401,2134434.1,2161213.4,2169416.2,2169416.2,2169416.2,2169416.2,2169416.2,2169416.2
256,83318104.19559321,78339759.9178296,77530625.716162,77464068.7908681,77496853.6330766,77464068.7908681,77464068.7908681,77481052.5261341,2060973.6,2223922.6,2235875.3,2235875.3,2235875.3,2235875.3,2235875.3,2235875.3
512,84663432.2940189,79208083.1209256,77853128.3071163,77706613.23221341,77748984.0698044,77699815.5052561,77699815.5052561,77699815.5052561,1989319.2,2173904.4,2224713.7,2225533.2,2225533.2,2225533.2,2225533.2,2225533.2
1024,83021746.1225101,80453291.9790799,78280594.4657493,77923113.52367839,78087703.4803042,77757896.3821649,77757735.49066779,77813088.4940493,2039494.8,2098374.1,2168741.2,2177586.1,2177586.1,2177586.1,2177586.1,2177586.1
2048,93629541.1652963,85083646.5233727,80906052.57617751,77688986.58534549,77569369.0805989,77095910.53749399,77149858.5866093,77346813.5181129,1789454.2,2027900.0,2078975.8,2210443.9,2217877.0,2217877.0,2217877.0,2215147.2
4096,103617592.9256335,97504088.86858289,87410982.8266119,81338175.2676434,78346973.9344721,77745005.83372459,77806236.8499331,80189906.8922115,1713454.9,1809883.5,2132022.3,2248620.4,2293004.2,2301076.0,2301076.0,2265815.5
8192,89598578.2605785,88869474.1643984,90758594.0799783,89995975.204429,79478300.7673833,77649618.3228852,77726556.6406414,80727759.75593731,1868484.0,1874667.9,1755743.3,1704284.7,2133070.4,2189707.3,2185204.6,2115304.2
16384,94257126.7207363,91424921.433739,90073269.388717,85675900.17244789,79332268.56558171,73062911.4932896,74026394.5387564,80418481.78718719,1800385.9,1871988.4,1830072.7,1951873.9,2116300.5,2241512.0,2224697.2,2102716.7
32768,94714864.2792154,98516262.3336823,97387343.539627,92745058.70569691,87947070.25922279,74407463.98286,76636176.3034115,85159214.930364,1652028.0,1491619.5,1499783.6,1612710.9,1719493.0,2140847.2,2107846.3,1820348.2
65536,91227656.00547169,89964231.4404725,87171211.09070739,86403278.6646489,83752955.5344321,60507676.139767006,61540650.1396638,87242830.285495,1303952.1,1358209.9,1428660.4,1445717.1,1513987.6,2055153.8,2020097.0,1442409.4
