arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
34,"{'L': 16.772, 'H': 64}",19872504.429510415,24804.218552496266,57909.900889226185,17267.068917450928,46263.318341856975
34,"{'L': 7.918, 'H': 512}",19451602.51442582,20760.35310393347,36680.83273318641,33107.83351413982,34514.93004483712
34,"{'L': 5.649, 'H': 4096}",19854985.064879626,42911.22982390507,67284.77410974937,129564.36548681122,68206.89391843027
34,"{'L': 4.639, 'H': 32768}",20166713.98161071,53084.76136331405,67945.35876717408,341754.0178095936,67373.6760686249
34,"{'L': 4.073, 'H': 262144}",19981609.223352157,130356.06978579862,159681.8936135215,761088.0941008078,155755.99739014867
34,"{'L': 56.3, 'H': 64}",34840608.554919146,20305189.740862235,31622626.759796996,15092106.289611533,31425198.463158924
34,"{'L': 18.9, 'H': 512}",33711930.70508966,9565324.735694446,18658424.10922777,13975329.830642173,16040101.582193924
34,"{'L': 12.4, 'H': 4096}",33877465.14104159,5089532.034346675,9941285.436458305,14249971.325138729,8370758.379845939
34,"{'L': 9.8, 'H': 32768}",31590407.16514442,2107754.7296061274,4437197.016796415,11802215.13738493,3470484.063371996
34,"{'L': 8.5, 'H': 262144}",31991250.190983675,1586416.4736487074,3641699.831279069,12850871.401552776,2618070.1900608013
34,"{'L': 32.3, 'H': 512}",51810294.52893824,22891094.681345627,42767044.4974368,32065426.34165794,39200003.186560996
34,"{'L': 19.7, 'H': 4096}",48593209.99644719,12614546.128206635,28847581.469051857,29088294.083882507,20815219.819130138
34,"{'L': 15.3, 'H': 32768}",52006536.71307847,8721406.411907084,21253040.53707556,32488856.289319064,14448175.638074173
34,"{'L': 13.0, 'H': 262144}",42088791.0989421,5526666.283284617,16902905.05528189,22434705.623684034,8933201.479263747
