arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
20,13.0,262144,82502461.1000644,82502461.1000644,82502461.1000644,82502461.1000644,82502461.1000644,82502461.1000644,82502461.1000644,82502461.1000644
20,15.3,32768,103837477.7128234,103837477.7128234,103837477.7128234,103837477.7128234,103837477.7128234,103837477.7128234,103837477.7128234,103837477.7128234
20,19.7,4096,143215150.92801648,143215150.92801648,143215150.92801648,143215150.92801648,143215150.92801648,143215150.92801648,143215150.92801648,143215150.92801648
20,32.3,512,223492187.1915024,223492187.1915024,223492187.1915024,223492187.1915024,223492187.1915024,223492187.1915024,223492187.1915024,223492187.1915024
20,90.0,18,319727633.7316718,320164601.11434186,320450824.6722356,320541509.64515907,320503488.20729506,320555589.3619833,320552064.31823903,320550642.7198145
20,90.0,27,305945627.281772,305945627.281772,305945627.281772,305945627.281772,305945627.281772,305945627.281772,305945627.281772,305945627.281772
20,90.0,36,292222558.4820515,292222558.4820515,292222558.4820515,292222558.4820515,292222558.4820515,292222558.4820515,292222558.4820515,292222558.4820515
20,300.0,150,33923463.5504247,33923463.5504247,33923463.5504247,33923463.5504247,33923463.5504247,33923463.5504247,33923463.5504247,33923463.5504247
20,1500.0,600,182939925.4262764,182939925.4262764,182939925.4262764,182939925.4262764,182939925.4262764,182939925.4262764,182939925.4262764,182939925.4262764
20,8000.0,3000,991473873.6676977,991473873.6676977,991473873.6676977,991473873.6676977,991473873.6676977,991473873.6676977,991473873.6676977,991473873.6676977
22,13.0,262144,78063463.7210235,78063463.7210235,78063463.7210235,78063463.7210235,78063463.7210235,78063463.7210235,78063463.7210235,78063463.7210235
