arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
20,8.5,262144,109693808.4691956
20,9.8,32768,132709899.3259073
20,12.4,4096,175201043.46849298
20,18.9,512,228701159.60475788
20,56.3,64,284431729.2821799
20,60.0,12,280214552.296039
20,60.0,18,274552698.45521164
20,60.0,24,267701659.5723959
20,100.0,50,14314047.3318883
20,500.0,200,73613923.4703085
20,2000.0,800,294403816.788777
22,8.5,262144,99581841.99980271
22,9.8,32768,119038226.8888756
22,12.4,4096,160581018.9814861
22,18.9,512,219976726.97064453
22,56.3,64,280498440.0956638
22,60.0,12,277237067.97443235
22,60.0,18,270870356.9608981
22,60.0,24,263731085.65507787
22,100.0,50,14285048.379154
22,500.0,200,73644720.06567
22,2000.0,800,292559973.93248236
24,8.5,262144,82242587.83497371
24,9.8,32768,107191909.6464015
24,12.4,4096,146604709.9057906
24,18.9,512,211829621.56245282
24,56.3,64,277325815.7123464
24,60.0,12,272386433.2224058
24,60.0,18,267142089.3757065
24,60.0,24,259366830.59475452
24,100.0,50,14266247.7930022
24,500.0,200,73537226.56633401
24,2000.0,800,293549806.821321
26,8.5,262144,73084853.3159361
26,9.8,32768,93173582.80969341
26,12.4,4096,133996073.33479878
26,18.9,512,202889918.9127255
26,56.3,64,273458978.8941122
26,60.0,12,268616915.0589807
26,60.0,18,262509499.54952174
26,60.0,24,254761743.60229912
26,100.0,50,14190073.7635024
26,500.0,200,73429240.15254
26,2000.0,800,292659853.82095
28,8.5,262144,64516078.335096896
28,9.8,32768,83192537.86600812
28,12.4,4096,122837231.8890188
28,18.9,512,193599697.822302
28,56.3,64,268802704.1937852
28,60.0,12,264070707.6915551
28,60.0,18,257688864.1204048
28,60.0,24,250310959.7556305
28,100.0,50,14075581.7876613
28,500.0,200,73833813.0204157
28,2000.0,800,294358151.03732127
30,8.5,262144,54591433.9923421
30,9.8,32768,71814288.16367778
30,12.4,4096,110982231.99911699
30,18.9,512,184127654.5740516
30,56.3,64,263939898.0657177
30,60.0,12,258925469.57757267
30,60.0,18,253200573.10015303
30,60.0,24,245301724.4972175
30,100.0,50,13986910.227839699
30,500.0,200,73939519.4854832
30,2000.0,800,292910228.5589723
32,8.5,262144,46088430.6619734
32,9.8,32768,63231435.298761606
32,12.4,4096,99488046.4526963
32,18.9,512,174343388.7259903
32,56.3,64,259210929.18094143
32,60.0,12,254322090.74154812
32,60.0,18,247499728.67142302
32,60.0,24,240252422.5063618
32,100.0,50,13895290.1346632
32,500.0,200,73755083.5590935
32,2000.0,800,294410466.4168359
34,8.5,262144,38084183.749650896
34,9.8,32768,55704970.69746409
34,12.4,4096,90896912.94389299
34,18.9,512,164197436.4380756
34,56.3,64,253935051.4386056
34,60.0,12,248735920.67635196
34,60.0,18,241714094.52919817
34,60.0,24,234521732.4950357
34,100.0,50,13703152.554269299
34,500.0,200,73862571.58572212
34,2000.0,800,294870252.4054789
36,8.5,262144,31416244.267403703
36,9.8,32768,48761695.669948906
36,12.4,4096,83628028.5669101
36,18.9,512,153106455.66229638
36,56.3,64,248426634.362957
36,60.0,12,243016114.8009317
36,60.0,18,235741531.7462492
36,60.0,24,229167788.3468092
36,100.0,50,13587971.661954701
36,500.0,200,73851209.5376348
36,2000.0,800,294338420.7437433
38,8.5,262144,26921891.992822
38,9.8,32768,42520797.208023906
38,12.4,4096,73728523.2339581
38,18.9,512,141261577.1076755
38,56.3,64,242275174.53827628
38,60.0,12,237131087.62986088
38,60.0,18,229785678.604359
38,60.0,24,222441092.3503419
38,100.0,50,13512003.838351402
38,500.0,200,73708649.9831774
38,2000.0,800,294694683.9432475
40,8.5,262144,21371667.611960802
40,9.8,32768,35730242.9197236
40,12.4,4096,65755571.14238338
40,18.9,512,133251015.14636509
40,56.3,64,236123456.0237754
40,60.0,12,231117154.6488687
40,60.0,18,224169862.20369482
40,60.0,24,215803824.0240241
40,100.0,50,13276000.368118102
40,500.0,200,73853223.238875
40,2000.0,800,293294895.1273394
