checkpoint_time,algorithm,fcfs_score,rmlf_score,rmlf_ratio,fcfs_ratio
6464,RMLF,29286.7246469392,21729.70831877962,90.0,10.0
6528,RMLF,29286.7246469392,23642.404153568325,90.1,9.9
6592,RMLF,29286.7246469392,32699.49707154483,90.2,9.8
6656,FCFS,76620.05218224529,32699.49707154483,89.3,10.7
6720,RMLF,76620.05218224529,37295.147364390345,89.4,10.6
6784,RMLF,76620.05218224529,42656.63262795131,89.5,10.5
6848,RMLF,76620.05218224529,54258.63603182284,89.6,10.4
6912,RMLF,76620.05218224529,63831.27242864056,89.7,10.3
6976,RMLF,76620.05218224529,72040.81185244318,89.8,10.2
7040,RMLF,76620.05218224529,64851.0640005322,89.9,10.1
7104,RMLF,76620.05218224529,58365.95760047898,90.0,10.0
7168,RMLF,76620.05218224529,52789.96184043108,90.1,9.9
7232,RMLF,76620.05218224529,48373.36565638798,90.2,9.8
7296,RMLF,76620.05218224529,45625.02909074918,90.3,9.7
7360,RMLF,76620.05218224529,41108.026181674264,90.4,9.6
7424,RMLF,76620.05218224529,37092.55689684017,90.4,9.6
7488,RMLF,76620.05218224529,33811.05120715615,90.5,9.5
7552,RMLF,76620.05218224529,30800.34608644054,90.6,9.4
7616,RMLF,76620.05218224529,28173.311477796484,90.7,9.3
7680,RMLF,76620.05218224529,26275.26604430255,90.8,9.2
7744,RMLF,76620.05218224529,24619.572773205626,90.8,9.2
7808,RMLF,76620.05218224529,22267.948829218396,90.9,9.1
7872,RMLF,76620.05218224529,20861.153946296556,91.0,9.0
7936,RMLF,76620.05218224529,19747.238551666902,91.1,8.9
8000,RMLF,76620.05218224529,17890.514696500213,91.1,8.9
8064,RMLF,76620.05218224529,16266.463226850192,91.2,8.8
8128,RMLF,76620.05218224529,15060.816904165173,91.3,8.7
8192,RMLF,76620.05218224529,14873.335213748656,91.3,8.7
8256,RMLF,76620.05218224529,13562.001692373791,91.4,8.6
8320,RMLF,76620.05218224529,12205.801523136412,91.5,8.5
8384,RMLF,76620.05218224529,10991.22137082277,91.5,8.5
8448,RMLF,76620.05218224529,11035.599233740493,91.6,8.4
8512,RMLF,76620.05218224529,10896.239310366445,91.7,8.3
8576,RMLF,76620.05218224529,9841.215379329802,91.7,8.3
8640,RMLF,76620.05218224529,9629.093841396822,91.8,8.2
8704,RMLF,76620.05218224529,11581.684457257139,91.9,8.1
8768,RMLF,76620.05218224529,14265.516011531425,91.9,8.1
8832,RMLF,76620.05218224529,18756.464410378285,92.0,8.0
8896,RMLF,76620.05218224529,22306.15130267379,92.0,8.0
8960,RMLF,76620.05218224529,28267.202839073077,92.1,7.9
9024,RMLF,76620.05218224529,42225.98255516577,92.1,7.9
9088,RMLF,76620.05218224529,58156.384299649195,92.2,7.8
9152,RMLF,76620.05218224529,78442.74586968427,92.3,7.7
9216,FCFS,140519.04696402076,78442.74586968427,91.6,8.4
9280,RMLF,140519.04696402076,86858.67128271583,91.7,8.3
9344,RMLF,140519.04696402076,93643.60415444426,91.7,8.3
9408,RMLF,140519.04696402076,111278.24373899984,91.8,8.2
9472,RMLF,140519.04696402076,116592.01936509984,91.8,8.2
9536,RMLF,140519.04696402076,104932.81742858986,91.9,8.1
9600,RMLF,140519.04696402076,94469.53568573088,91.9,8.1
9664,RMLF,140519.04696402076,85040.5821171578,92.0,8.0
9728,RMLF,140519.04696402076,76546.52390544202,92.1,7.9
9792,RMLF,140519.04696402076,68939.37151489782,92.1,7.9
9856,RMLF,140519.04696402076,62075.43436340804,92.2,7.8
9920,RMLF,140519.04696402076,55877.89092706724,92.2,7.8
9984,RMLF,140519.04696402076,50334.43516769385,92.3,7.7
10048,RMLF,140519.04696402076,45492.99165092447,92.3,7.7
10112,RMLF,140519.04696402076,41106.69248583203,92.4,7.6
10176,RMLF,140519.04696402076,37183.273237248824,92.4,7.6
10240,RMLF,140519.04696402076,33612.945913523945,92.5,7.5
10304,RMLF,140519.04696402076,30370.65132217155,92.5,7.5
10368,RMLF,140519.04696402076,27344.086189954396,92.5,7.5
10432,RMLF,140519.04696402076,24722.677570958956,92.6,7.4
10496,RMLF,140519.04696402076,22637.743147196394,92.6,7.4
10560,RMLF,140519.04696402076,20373.968832476756,92.7,7.3
10624,RMLF,140519.04696402076,18364.07194922908,92.7,7.3
10688,RMLF,140519.04696402076,16660.164754306174,92.8,7.2
10752,RMLF,140519.04696402076,16137.48161220889,92.8,7.2
10816,RMLF,140519.04696402076,17030.733450988002,92.9,7.1
10880,RMLF,140519.04696402076,21266.160105889205,92.9,7.1
10944,RMLF,140519.04696402076,26985.044095300284,92.9,7.1
11008,RMLF,140519.04696402076,26101.789685770254,93.0,7.0
11072,RMLF,140519.04696402076,23501.944050526563,93.0,7.0
11136,RMLF,140519.04696402076,21156.74964547391,93.1,6.9
11200,RMLF,140519.04696402076,19119.07468092652,93.1,6.9
11264,RMLF,140519.04696402076,17324.16721283387,93.1,6.9
11328,RMLF,140519.04696402076,15595.750491550481,93.2,6.8
11392,RMLF,140519.04696402076,14044.175442395433,93.2,6.8
11456,RMLF,140519.04696402076,12658.55789815589,93.3,6.7
11520,RMLF,140519.04696402076,12553.452108340301,93.3,6.7
11584,RMLF,140519.04696402076,12780.606897506272,93.3,6.7
11648,RMLF,140519.04696402076,12565.546207755644,93.4,6.6
11712,RMLF,140519.04696402076,12139.99158698008,93.4,6.6
11776,RMLF,140519.04696402076,10925.992428282072,93.4,6.6
11840,RMLF,140519.04696402076,10098.893185453866,93.5,6.5
11904,RMLF,140519.04696402076,9330.253866908479,93.5,6.5
11968,RMLF,140519.04696402076,10602.728480217631,93.5,6.5
12032,RMLF,140519.04696402076,13816.955632195868,93.6,6.4
12096,RMLF,140519.04696402076,15469.860068976282,93.6,6.4
12160,RMLF,140519.04696402076,22309.374062078656,93.7,6.3
12224,RMLF,140519.04696402076,24400.43665587079,93.7,6.3
12288,RMLF,140519.04696402076,50196.39299028371,93.7,6.3
12352,RMLF,140519.04696402076,52730.00369125534,93.8,6.2
12416,RMLF,140519.04696402076,55717.25332212981,93.8,6.2
12480,RMLF,140519.04696402076,62525.194656583495,93.8,6.2
12544,RMLF,140519.04696402076,66576.42519092515,93.8,6.2
12608,RMLF,140519.04696402076,82574.28267183263,93.9,6.1
12672,RMLF,140519.04696402076,90992.52107131603,93.9,6.1
12736,RMLF,140519.04696402076,91160.26896418443,93.9,6.1
12800,RMLF,140519.04696402076,82049.242067766,94.0,6.0
12864,RMLF,140519.04696402076,74274.3178609894,94.0,6.0
12928,RMLF,140519.04696402076,66925.38607489046,94.0,6.0
12992,RMLF,140519.04696402076,63016.847467401414,94.1,5.9
13056,RMLF,140519.04696402076,56797.912720661276,94.1,5.9
13120,RMLF,140519.04696402076,51123.12144859515,94.1,5.9
13184,RMLF,140519.04696402076,46028.80930373564,94.1,5.9
13248,RMLF,140519.04696402076,41454.928373362076,94.2,5.8
13312,RMLF,140519.04696402076,37378.768869359206,94.2,5.8
13376,RMLF,140519.04696402076,33645.89198242329,94.2,5.8
13440,RMLF,140519.04696402076,30288.80278418096,94.3,5.7
13504,RMLF,140519.04696402076,27374.422505762865,94.3,5.7
13568,RMLF,140519.04696402076,24707.98025518658,94.3,5.7
13632,RMLF,140519.04696402076,22247.682229667924,94.3,5.7
13696,RMLF,140519.04696402076,20022.914006701132,94.4,5.6
13760,RMLF,140519.04696402076,18020.62260603102,94.4,5.6
13824,RMLF,140519.04696402076,17179.06034542792,94.4,5.6
13888,RMLF,140519.04696402076,18439.154310885126,94.4,5.6
13952,RMLF,140519.04696402076,17386.738879796612,94.5,5.5
14016,RMLF,140519.04696402076,15659.398325150285,94.5,5.5
14080,RMLF,140519.04696402076,14102.79182596859,94.5,5.5
14144,RMLF,140519.04696402076,12797.262643371732,94.5,5.5
14208,RMLF,140519.04696402076,11545.28637903456,94.6,5.4
14272,RMLF,140519.04696402076,10438.091074464439,94.6,5.4
14336,RMLF,140519.04696402076,9499.281967017996,94.6,5.4
14400,RMLF,140519.04696402076,8640.353770316196,94.6,5.4
14464,RMLF,140519.04696402076,7784.65172661791,94.7,5.3
14528,RMLF,140519.04696402076,7013.186553956119,94.7,5.3
14592,RMLF,140519.04696402076,6336.867898560507,94.7,5.3
14656,RMLF,140519.04696402076,5723.181108704456,94.7,5.3
14720,RMLF,140519.04696402076,5533.8629978340105,94.8,5.2
14784,RMLF,140519.04696402076,5095.143364717276,94.8,5.2
14848,RMLF,140519.04696402076,4871.129028245548,94.8,5.2
14912,RMLF,140519.04696402076,4480.766125420993,94.8,5.2
14976,RMLF,140519.04696402076,4032.689512878894,94.8,5.2
15040,RMLF,140519.04696402076,3629.420561591005,94.9,5.1
15104,RMLF,140519.04696402076,3266.4785054319045,94.9,5.1
15168,RMLF,140519.04696402076,3017.430654888714,94.9,5.1
15232,RMLF,140519.04696402076,2952.6875893998426,94.9,5.1
15296,RMLF,140519.04696402076,4105.918830459858,95.0,5.0
15360,RMLF,140519.04696402076,8425.99361408054,95.0,5.0
15424,RMLF,140519.04696402076,20745.894252672486,95.0,5.0
15488,RMLF,140519.04696402076,60414.30482740524,95.0,5.0
15552,RMLF,140519.04696402076,73825.87434466471,95.0,5.0
15616,RMLF,140519.04696402076,140939.28691019825,95.1,4.9
15680,FCFS,220211.14226761868,140939.28691019825,94.7,5.3
15744,RMLF,220211.14226761868,146199.52488584508,94.7,5.3
15808,RMLF,220211.14226761868,188798.57239726058,94.7,5.3
15872,RMLF,220211.14226761868,185722.31515753453,94.7,5.3
15936,RMLF,220211.14226761868,168450.58364178106,94.8,5.2
16000,RMLF,220211.14226761868,151674.72527760296,94.8,5.2
16064,RMLF,220211.14226761868,136669.75274984268,94.8,5.2
16128,RMLF,220211.14226761868,123654.77747485842,94.8,5.2
16192,RMLF,220211.14226761868,111589.79972737258,94.8,5.2
16256,RMLF,220211.14226761868,100612.56975463532,94.9,5.1
16320,RMLF,220211.14226761868,90605.56277917179,94.9,5.1
16384,RMLF,220211.14226761868,81913.60650125462,94.9,5.1
16448,RMLF,220211.14226761868,75399.74585112916,94.9,5.1
16512,RMLF,220211.14226761868,72067.77126601625,94.9,5.1
16576,RMLF,220211.14226761868,65612.99413941463,95.0,5.0
16640,RMLF,220211.14226761868,59357.69472547317,95.0,5.0
16704,RMLF,220211.14226761868,53474.92525292585,95.0,5.0
16768,RMLF,220211.14226761868,48276.68272763327,95.0,5.0
16832,RMLF,220211.14226761868,45548.014454869946,95.0,5.0
16896,RMLF,220211.14226761868,42617.213009382955,95.1,4.9
16960,RMLF,220211.14226761868,38358.49170844466,95.1,4.9
17024,RMLF,220211.14226761868,34611.97587093353,95.1,4.9
17088,RMLF,220211.14226761868,31176.11161717351,95.1,4.9
17152,RMLF,220211.14226761868,28063.500455456156,95.1,4.9
17216,RMLF,220211.14226761868,25262.483743243873,95.1,4.9
17280,RMLF,220211.14226761868,22740.235368919486,95.2,4.8
17344,RMLF,220211.14226761868,20490.461832027537,95.2,4.8
17408,RMLF,220211.14226761868,18736.01564882478,95.2,4.8
17472,RMLF,220211.14226761868,17161.814083942307,95.2,4.8
17536,RMLF,220211.14226761868,16930.632675548077,95.2,4.8
17600,RMLF,220211.14226761868,20773.56940799327,95.3,4.7
17664,RMLF,220211.14226761868,21923.87913386061,95.3,4.7
17728,RMLF,220211.14226761868,21792.91979190312,95.3,4.7
17792,RMLF,220211.14226761868,25566.62781271281,95.3,4.7
17856,RMLF,220211.14226761868,29247.71503144153,95.3,4.7
17920,RMLF,220211.14226761868,31296.94352829738,95.3,4.7
17984,RMLF,220211.14226761868,35722.249175467645,95.4,4.6
18048,RMLF,220211.14226761868,49563.024257920886,95.4,4.6
18112,RMLF,220211.14226761868,60138.05516546214,95.4,4.6
18176,RMLF,220211.14226761868,63808.91631558259,95.4,4.6
18240,RMLF,220211.14226761868,92470.02468402433,95.4,4.6
18304,RMLF,220211.14226761868,103920.27221562191,95.4,4.6
18368,RMLF,220211.14226761868,109224.74499405971,95.5,4.5
18432,RMLF,220211.14226761868,139272.27049465373,95.5,4.5
18496,RMLF,220211.14226761868,144326.29344518838,95.5,4.5
18560,RMLF,220211.14226761868,163386.66410066956,95.5,4.5
18624,RMLF,220211.14226761868,218119.9976906026,95.5,4.5
18688,RMLF,220211.14226761868,211376.99792154235,95.5,4.5
18752,RMLF,220211.14226761868,206209.09812938812,95.5,4.5
18816,RMLF,220211.14226761868,206677.43831644932,95.6,4.4
18880,RMLF,220211.14226761868,273465.6944848044,95.6,4.4
18944,FCFS,291278.0280408568,273465.6944848044,95.3,4.7
19008,RMLF,291278.0280408568,271855.37503632397,95.3,4.7
19072,RMLF,291278.0280408568,272009.83753269154,95.3,4.7
19136,RMLF,291278.0280408568,265106.35377942235,95.3,4.7
19200,RMLF,291278.0280408568,305238.7184014801,95.3,4.7
19264,FCFS,408324.22523677116,305238.7184014801,95.0,5.0
19328,RMLF,408324.22523677116,315611.3465613321,95.0,5.0
19392,RMLF,408324.22523677116,305714.3785718656,95.0,5.0
19456,RMLF,408324.22523677116,316605.2740480124,95.0,5.0
19520,RMLF,408324.22523677116,327777.0799765445,95.1,4.9
19584,RMLF,408324.22523677116,361258.37197889003,95.1,4.9
19648,RMLF,408324.22523677116,371038.2014476677,95.1,4.9
19712,RMLF,408324.22523677116,380842.38130290096,95.1,4.9
19776,RMLF,408324.22523677116,415573.1431726109,95.1,4.9
19840,FCFS,521433.80271309405,415573.1431726109,94.8,5.2
19904,RMLF,521433.80271309405,455173.3288553498,94.8,5.2
19968,RMLF,521433.80271309405,466431.32930314814,94.9,5.1
20032,RMLF,521433.80271309405,463533.94637283334,94.9,5.1
20096,RMLF,521433.80271309405,499825.55173555,94.9,5.1
20160,RMLF,521433.80271309405,506501.996561995,94.9,5.1
20224,RMLF,521433.80271309405,543146.7969057956,94.9,5.1
20288,FCFS,659850.4224417846,543146.7969057956,94.6,5.4
20352,RMLF,659850.4224417846,528959.117215216,94.6,5.4
20416,RMLF,659850.4224417846,526400.7054936944,94.7,5.3
20480,RMLF,659850.4224417846,508802.4682776583,94.7,5.3
20544,RMLF,659850.4224417846,679781.2214498925,94.7,5.3
20608,FCFS,830217.3801976062,679781.2214498925,94.4,5.6
20672,RMLF,830217.3801976062,694156.0993049033,94.4,5.6
20736,RMLF,830217.3801976062,711026.489374413,94.4,5.6
20800,RMLF,830217.3801976062,910931.8404369717,94.4,5.6
20864,FCFS,798245.1421778456,910931.8404369717,94.2,5.8
20928,FCFS,724533.6279600611,910931.8404369717,93.9,6.1
20992,FCFS,652223.9794497692,910931.8404369717,93.6,6.4
21056,FCFS,587009.0815047923,910931.8404369717,93.3,6.7
21120,FCFS,528338.5066876465,910931.8404369717,93.0,7.0
21184,FCFS,479117.6560188819,910931.8404369717,92.7,7.3
21248,FCFS,431649.4904169937,910931.8404369717,92.4,7.6
21312,FCFS,388495.5413752943,910931.8404369717,92.2,7.8
21376,FCFS,349645.98723776493,910931.8404369717,91.9,8.1
21440,FCFS,314700.13851398847,910931.8404369717,91.6,8.4
21504,FCFS,283301.9246625896,910931.8404369717,91.3,8.7
21568,FCFS,255123.39886299733,910931.8404369717,91.1,8.9
21632,FCFS,229616.0589766976,910931.8404369717,90.8,9.2
21696,FCFS,206674.45307902782,910931.8404369717,90.5,9.5
21760,FCFS,186099.00777112503,910931.8404369717,90.3,9.7
21824,FCFS,168653.4403273459,910931.8404369717,90.0,10.0
21888,FCFS,151981.8462946113,910931.8404369717,89.7,10.3
21952,FCFS,136783.6616651502,910931.8404369717,89.5,10.5
22016,FCFS,123110.29549863518,910931.8404369717,89.2,10.8
22080,FCFS,110799.26594877167,910931.8404369717,89.0,11.0
22144,FCFS,99725.83935389451,910931.8404369717,88.7,11.3
22208,FCFS,89771.58875183838,910931.8404369717,88.4,11.6
22272,FCFS,81109.42987665454,910931.8404369717,88.2,11.8
22336,FCFS,80152.4868889891,910931.8404369717,87.9,12.1
22400,FCFS,96935.23820009019,910931.8404369717,87.7,12.3
22464,FCFS,139910.71438008116,910931.8404369717,87.4,12.6
22528,FCFS,145530.39294207306,910931.8404369717,87.2,12.8
22592,FCFS,209925.35364786576,910931.8404369717,86.9,13.1
22656,FCFS,305464.8182830792,910931.8404369717,86.7,13.3
22720,FCFS,439572.3364547713,910931.8404369717,86.4,13.6
22784,FCFS,613866.1028092941,910931.8404369717,86.2,13.8
22848,FCFS,831907.4925283648,910931.8404369717,86.0,14.0
22912,FCFS,1100882.7432755283,910931.8404369717,85.7,14.3
22976,RMLF,1100882.7432755283,921980.1563932745,85.8,14.2
23040,RMLF,1100882.7432755283,867566.3629761693,85.8,14.2
23104,RMLF,1100882.7432755283,807795.0600118858,85.8,14.2
23168,RMLF,1100882.7432755283,767139.2206773639,85.9,14.1
23232,RMLF,1100882.7432755283,748988.7986096275,85.9,14.1
23296,RMLF,1100882.7432755283,731851.9187486648,86.0,14.0
23360,RMLF,1100882.7432755283,700437.3935404649,86.0,14.0
23424,RMLF,1100882.7432755283,693124.1541864184,86.0,14.0
23488,RMLF,1100882.7432755283,657254.4887677765,86.1,13.9
23552,RMLF,1100882.7432755283,733353.0398909989,86.1,13.9
23616,RMLF,1100882.7432755283,810033.7359018989,86.1,13.9
23680,RMLF,1100882.7432755283,768810.3623117091,86.2,13.8
23744,RMLF,1100882.7432755283,748815.6594138716,86.2,13.8
23808,RMLF,1100882.7432755283,720720.3434724845,86.3,13.7
23872,RMLF,1100882.7432755283,697378.3091252361,86.3,13.7
23936,RMLF,1100882.7432755283,728721.4782127126,86.3,13.7
24000,RMLF,1100882.7432755283,722506.997058108,86.4,13.6
24064,RMLF,1100882.7432755283,677247.4640189639,86.4,13.6
24128,RMLF,1100882.7432755283,666030.7176170675,86.4,13.6
24192,RMLF,1100882.7432755283,638440.6458553608,86.5,13.5
24256,RMLF,1100882.7432755283,605238.3312698248,86.5,13.5
24320,RMLF,1100882.7432755283,576155.2481428423,86.5,13.5
24384,RMLF,1100882.7432755283,647851.723328558,86.6,13.4
24448,RMLF,1100882.7432755283,716474.5509957023,86.6,13.4
24512,RMLF,1100882.7432755283,690770.095896132,86.6,13.4
24576,RMLF,1100882.7432755283,650572.0863065189,86.7,13.3
24640,RMLF,1100882.7432755283,635237.2110092004,86.7,13.3
24704,RMLF,1100882.7432755283,646867.9899082804,86.8,13.2
24768,RMLF,1100882.7432755283,634123.8575841191,86.8,13.2
24832,RMLF,1100882.7432755283,623397.1384923739,86.8,13.2
24896,RMLF,1100882.7432755283,616183.4246431364,86.9,13.1
24960,RMLF,1100882.7432755283,598162.8321788228,86.9,13.1
25024,RMLF,1100882.7432755283,583709.5489609406,86.9,13.1
25088,RMLF,1100882.7432755283,589915.9273981799,87.0,13.0
25152,RMLF,1100882.7432755283,633957.334658362,87.0,13.0
25216,RMLF,1100882.7432755283,681876.6011925258,87.0,13.0
25280,RMLF,1100882.7432755283,661280.1410732733,87.1,12.9
25344,RMLF,1100882.7432755283,639392.1269659459,87.1,12.9
25408,RMLF,1100882.7432755283,651542.9142693514,87.1,12.9
25472,RMLF,1100882.7432755283,690353.1228424163,87.2,12.8
25536,RMLF,1100882.7432755283,689046.143891508,87.2,12.8
25600,RMLF,1100882.7432755283,827277.5295023572,87.2,12.8
25664,RMLF,1100882.7432755283,955870.7765521215,87.2,12.8
25728,RMLF,1100882.7432755283,914345.6988969094,87.3,12.7
25792,RMLF,1100882.7432755283,1045823.1290072184,87.3,12.7
25856,RMLF,1100882.7432755283,1015807.8161064966,87.3,12.7
25920,RMLF,1100882.7432755283,1141879.0344958468,87.4,12.6
25984,FCFS,1227112.4689479754,1141879.0344958468,87.2,12.8
26048,RMLF,1227112.4689479754,1063047.5596176907,87.2,12.8
26112,RMLF,1227112.4689479754,1017047.3036559217,87.2,12.8
26176,RMLF,1227112.4689479754,956374.5732903295,87.3,12.7
26240,RMLF,1227112.4689479754,922843.6159612966,87.3,12.7
26304,RMLF,1227112.4689479754,956667.754365167,87.3,12.7
26368,RMLF,1227112.4689479754,946547.9789286503,87.3,12.7
26432,RMLF,1227112.4689479754,983918.6810357852,87.4,12.6
26496,RMLF,1227112.4689479754,977368.4795988734,87.4,12.6
26560,RMLF,1227112.4689479754,926815.6316389861,87.4,12.6
26624,RMLF,1227112.4689479754,971146.5684750875,87.5,12.5
26688,RMLF,1227112.4689479754,966360.2449609122,87.5,12.5
26752,RMLF,1227112.4689479754,926127.020464821,87.5,12.5
26816,RMLF,1227112.4689479754,1118495.318418339,87.6,12.4
26880,RMLF,1227112.4689479754,1103143.4532431718,87.6,12.4
26944,RMLF,1227112.4689479754,1052706.9079188546,87.6,12.4
27008,RMLF,1227112.4689479754,1047763.2171269691,87.6,12.4
27072,RMLF,1227112.4689479754,1093661.8954142723,87.7,12.3
27136,RMLF,1227112.4689479754,1086129.0392061784,87.7,12.3
27200,RMLF,1227112.4689479754,1013606.1352855606,87.7,12.3
27264,RMLF,1227112.4689479754,912301.5217570045,87.8,12.2
27328,RMLF,1227112.4689479754,821085.3695813041,87.8,12.2
27392,RMLF,1227112.4689479754,738985.8326231737,87.8,12.2
27456,RMLF,1227112.4689479754,665097.2493608564,87.9,12.1
27520,RMLF,1227112.4689479754,598709.0244247707,87.9,12.1
27584,RMLF,1227112.4689479754,538838.1219822937,87.9,12.1
27648,RMLF,1227112.4689479754,484999.3097840643,87.9,12.1
27712,RMLF,1227112.4689479754,436509.8788056579,88.0,12.0
27776,RMLF,1227112.4689479754,392886.8909250921,88.0,12.0
27840,RMLF,1227112.4689479754,353675.0018325829,88.0,12.0
27904,RMLF,1227112.4689479754,318462.0016493246,88.0,12.0
27968,RMLF,1227112.4689479754,287486.30148439214,88.1,11.9
