checkpoint_time,algorithm,fcfs_score,rmlf_score,rmlf_ratio,fcfs_ratio
64,FCFS,777.0,0,0.0,0.0
128,RMLF,777.0,1167.0,100.0,0.0
192,FCFS,10960.3,1167.0,50.0,50.0
256,RMLF,10960.3,3790.1000000000004,66.7,33.3
320,RMLF,10960.3,5747.59,75.0,25.0
384,RMLF,10960.3,5362.331,80.0,20.0
448,RMLF,10960.3,5160.097900000001,83.3,16.7
512,RMLF,10960.3,4716.373824285715,85.7,14.3
576,RMLF,10960.3,4255.236441857144,87.5,12.5
640,RMLF,10960.3,3832.71279767143,88.9,11.1
704,RMLF,10960.3,3449.441517904287,90.0,10.0
768,RMLF,10960.3,3514.4973661138583,90.9,9.1
832,RMLF,10960.3,3173.047629502473,91.7,8.3
896,RMLF,10960.3,2863.2428665522257,92.3,7.7
960,RMLF,10960.3,2579.9185798970034,92.9,7.1
1024,RMLF,10960.3,2526.426721907303,93.3,6.7
1088,RMLF,10960.3,2282.784049716573,93.8,6.2
1152,RMLF,10960.3,2057.5056447449156,94.1,5.9
1216,RMLF,10960.3,1865.755080270424,94.4,5.6
1280,RMLF,10960.3,1679.1795722433817,94.7,5.3
1344,RMLF,10960.3,1555.2616150190436,95.0,5.0
1408,RMLF,10960.3,1399.7354535171391,95.2,4.8
1472,RMLF,10960.3,1397.0952414987585,95.5,4.5
1536,RMLF,10960.3,1282.8857173488827,95.7,4.3
1600,RMLF,10960.3,1321.0971456139946,95.8,4.2
1664,RMLF,10960.3,1200.3207643859284,96.0,4.0
1728,RMLF,10960.3,1085.6220212806688,96.2,3.8
1792,RMLF,10960.3,1293.559819152602,96.3,3.7
1856,RMLF,10960.3,1255.537170570675,96.4,3.6
1920,RMLF,10960.3,1239.4834535136076,96.6,3.4
1984,RMLF,10960.3,1226.5351081622468,96.7,3.3
2048,RMLF,10960.3,1188.381597346022,96.8,3.2
2112,RMLF,10960.3,1207.8767709447532,96.9,3.1
2176,RMLF,10960.3,1099.0890938502778,97.0,3.0
2240,RMLF,10960.3,999.18018446525,97.1,2.9
2304,RMLF,10960.3,934.5954993520584,97.1,2.9
2368,RMLF,10960.3,851.6359494168526,97.2,2.8
2432,RMLF,10960.3,784.4723544751673,97.3,2.7
2496,RMLF,10960.3,713.5251190276506,97.4,2.6
2560,RMLF,10960.3,885.1726071248855,97.4,2.6
2624,RMLF,10960.3,2340.3220130790637,97.5,2.5
2688,RMLF,10960.3,8157.7898117711575,97.6,2.4
2752,RMLF,10960.3,11796.510830594041,97.6,2.4
2816,FCFS,9904.52,11796.510830594041,95.3,4.7
2880,FCFS,8917.568000000001,11796.510830594041,93.2,6.8
2944,FCFS,8137.811200000001,11796.510830594041,91.1,8.9
3008,FCFS,8426.53008,11796.510830594041,89.1,10.9
3072,FCFS,7662.877072,11796.510830594041,87.2,12.8
3136,FCFS,7895.5893648,11796.510830594041,85.4,14.6
3200,FCFS,17620.030428320002,11796.510830594041,83.7,16.3
3264,RMLF,17620.030428320002,12682.859747534638,84.0,16.0
3328,RMLF,17620.030428320002,18363.073772781172,84.3,15.7
3392,FCFS,21608.027385488,18363.073772781172,82.7,17.3
3456,RMLF,21608.027385488,19090.099728836387,83.0,17.0
3520,RMLF,21608.027385488,18945.42308928608,83.3,16.7
3584,RMLF,21608.027385488,17681.88078035747,83.6,16.4
3648,RMLF,21608.027385488,15927.692702321725,83.9,16.1
3712,RMLF,21608.027385488,14334.923432089552,84.2,15.8
3776,RMLF,21608.027385488,12905.431088880598,84.5,15.5
3840,RMLF,21608.027385488,11716.887979992538,84.7,15.3
3904,RMLF,21608.027385488,10631.199181993285,85.0,15.0
3968,RMLF,21608.027385488,9570.079263793956,85.2,14.8
4032,RMLF,21608.027385488,8710.57133741456,85.5,14.5
4096,RMLF,21608.027385488,8206.847537006437,85.7,14.3
4160,RMLF,21608.027385488,7389.162783305794,85.9,14.1
4224,RMLF,21608.027385488,6739.2465049752145,86.2,13.8
4288,RMLF,21608.027385488,6093.321854477693,86.4,13.6
4352,RMLF,21608.027385488,5490.989669029924,86.6,13.4
4416,RMLF,21608.027385488,4962.8907021269315,86.8,13.2
4480,RMLF,21608.027385488,4467.101631914238,87.0,13.0
4544,RMLF,21608.027385488,4024.8914687228144,87.1,12.9
4608,RMLF,21608.027385488,3622.402321850533,87.3,12.7
4672,RMLF,21608.027385488,3399.3620896654797,87.5,12.5
4736,RMLF,21608.027385488,3620.425880698932,87.7,12.3
4800,RMLF,21608.027385488,5361.883292629039,87.8,12.2
4864,RMLF,21608.027385488,9002.694963366135,88.0,12.0
4928,RMLF,21608.027385488,10658.625467029522,88.2,11.8
4992,RMLF,21608.027385488,26072.762920326568,88.3,11.7
5056,FCFS,29286.7246469392,26072.762920326568,87.2,12.8
5120,RMLF,29286.7246469392,23757.28662829391,87.3,12.7
5184,RMLF,29286.7246469392,21961.55796546452,87.5,12.5
5248,RMLF,29286.7246469392,19796.402168918066,87.7,12.3
5312,RMLF,29286.7246469392,17867.428618692928,87.8,12.2
5376,RMLF,29286.7246469392,16400.3524234903,88.0,12.0
5440,RMLF,29286.7246469392,14765.317181141272,88.1,11.9
5504,RMLF,29286.7246469392,13296.285463027145,88.2,11.8
5568,RMLF,29286.7246469392,12139.65691672443,88.4,11.6
5632,RMLF,29286.7246469392,10957.191225051987,88.5,11.5
5696,RMLF,29286.7246469392,9883.972102546788,88.6,11.4
5760,RMLF,29286.7246469392,8933.57489229211,88.8,11.2
5824,RMLF,29286.7246469392,8057.967403062899,88.9,11.1
5888,RMLF,29286.7246469392,7993.17066275661,89.0,11.0
5952,RMLF,29286.7246469392,7981.2535964809485,89.1,10.9
6016,RMLF,29286.7246469392,7241.794903499521,89.2,10.8
6080,RMLF,29286.7246469392,8221.948746482902,89.4,10.6
6144,RMLF,29286.7246469392,8169.253871834611,89.5,10.5
6208,RMLF,29286.7246469392,7488.328484651151,89.6,10.4
6272,RMLF,29286.7246469392,9843.495636186035,89.7,10.3
6336,RMLF,29286.7246469392,16059.146072567431,89.8,10.2
6400,RMLF,29286.7246469392,18225.231465310688,89.9,10.1
