arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time
20,8.5,262144,43042409.80412371,42980912.2653753,42980912.2653753,42980912.2653753,42980912.2653753,42980912.2653753,42980912.2653753
20,9.8,32768,57819161.574384,57798070.660267994,57798070.660267994,57798070.660267994,57798070.660267994,57798070.660267994,57798070.660267994
20,12.4,4096,86438293.91146669,86409158.32215218,86409158.32215218,86409158.32215218,86409158.32215218,86409158.32215218,86409158.32215218
20,18.9,512,146250386.8800966,146250386.8800966,146250386.8800966,146250386.8800966,146250386.8800966,146250386.8800966,146250386.8800966
20,56.3,64,186896004.25402698,186896004.25402698,186896004.25402698,186896004.25402698,186896004.25402698,186841081.62029892,186741755.09249806
22,8.5,262144,37336222.81314259,36902539.635488495,36882122.9397169,36882122.9397169,36882122.9397169,36882122.9397169,36882122.9397169
22,9.8,32768,52018612.4126667,51923997.2923687,51923997.2923687,51923997.2923687,51934133.1795516,51923997.2923687,51923997.2923687
22,12.4,4096,80661588.42125191,80626646.7394211,80626646.7394211,80626646.7394211,80626646.7394211,80626646.7394211,80626646.7394211
22,18.9,512,140294120.03637248,140294120.03637248,140294120.03637248,140294120.03637248,140294120.03637248,140294120.03637248,140294120.03637248
22,56.3,64,177787027.4583387,177787027.4583387,177787027.4583387,177787027.4583387,177787027.4583387,177734853.6271644,177612244.71677727
24,8.5,262144,32051575.5532121,31799423.170809697,31755672.283254404,31755672.283254404,31806748.478864998,31755672.283254404,31755672.283254404
24,9.8,32768,46526991.0566873,46275037.3874482,46282314.584707305,46282314.584707305,46282314.584707305,46275037.3874482,46275037.3874482
24,12.4,4096,75173865.0903464,75143182.41563909,75143182.41563909,75143182.41563909,75168988.6003138,75143182.41563909,75143182.41563909
24,18.9,512,134267713.2253882,134267713.2253882,134267713.2253882,134267713.2253882,134267713.2253882,134267713.2253882,134267713.2253882
24,56.3,64,168290996.6098271,168290996.6098271,168290996.6098271,168290996.6098271,168290996.6098271,168243785.0088177,168138813.98911858
26,8.5,262144,27802044.017869104,26919166.9312581,26912244.940100096,26912244.940100096,26922961.0070386,26912244.940100096,26912244.940100096
26,9.8,32768,40293883.3297777,39906508.4842614,39890615.7873549,39939911.86011,39939911.86011,39890615.7873549,39890615.7873549
26,12.4,4096,68455911.2018821,68408354.8870953,68408354.8870953,68408354.8870953,68408354.8870953,68408354.8870953,68408354.8870953
26,18.9,512,127315289.282433,127315289.282433,127315289.282433,127315289.282433,127315289.282433,127315289.282433,127315289.282433
26,56.3,64,159075092.4355216,159075092.4355216,159075092.4355216,159075092.4355216,159075092.4355216,159032343.889649,158951812.5438747
28,8.5,262144,23715772.264801703,22841406.8892321,22837476.676447302,22860049.711318802,22860049.711318802,22837476.676447302,22837476.676447302
28,9.8,32768,34854185.4981243,34318106.7550205,34304552.5839682,34304552.5839682,34304552.5839682,34304552.5839682,34304552.5839682
28,12.4,4096,63013684.068389,62934322.2656824,62934322.2656824,62934322.2656824,62934322.2656824,62934322.2656824,62934322.2656824
28,18.9,512,119814856.9250875,119813118.14777479,119813118.14777479,119813118.14777479,119813118.14777479,119813118.14777479,119813118.14777479
28,56.3,64,149740245.13039222,149740245.13039222,149740245.13039222,149740245.13039222,149740245.13039222,149700578.03002998,149622721.1198973
30,8.5,262144,20936861.1694747,20435007.847931396,20437469.9758344,20437469.9758344,20437469.9758344,20437469.9758344,20437469.9758344
30,9.8,32768,30963475.633492,30424744.4085492,30424744.4085492,30424744.4085492,30424744.4085492,30424744.4085492,30424744.4085492
30,12.4,4096,56036906.1838925,55990236.35223991,55990236.35223991,55990236.35223991,55990236.35223991,55990236.35223991,55990236.35223991
30,18.9,512,113479071.967204,113477725.0737704,113477725.0737704,113477725.0737704,113477725.0737704,113477725.0737704,113477725.0737704
30,56.3,64,140812078.58145648,140812078.58145648,140812078.58145648,140812078.58145648,140812078.58145648,140774282.1070661,140688669.6097222
32,8.5,262144,18600859.6966839,18379969.7923748,18377256.4704685,18377256.4704685,18377256.4704685,18377256.4704685,18377256.4704685
