job_id,job_size,fcfs_completions,rmlf_completions,fcfs_percentage,rmlf_percentage
65,36.0,30,6,83.3,16.7
66,20.0,14,6,70.0,30.0
67,19.0,13,6,68.4,31.6
68,49.0,43,6,87.8,12.2
69,23.0,17,6,73.9,26.1
70,27.0,21,6,77.8,22.2
71,35.0,29,6,82.9,17.1
72,36.0,30,6,83.3,16.7
73,22.0,16,6,72.7,27.3
74,50.0,50,0,100.0,0.0
75,20.0,20,0,100.0,0.0
76,22.0,22,0,100.0,0.0
77,44.0,44,0,100.0,0.0
78,21.0,21,0,100.0,0.0
79,31.0,31,0,100.0,0.0
80,34.0,34,0,100.0,0.0
81,34.0,34,0,100.0,0.0
82,17.0,17,0,100.0,0.0
83,37.0,37,0,100.0,0.0
84,21.0,21,0,100.0,0.0
85,26.0,26,0,100.0,0.0
86,20.0,20,0,100.0,0.0
87,18.0,18,0,100.0,0.0
88,57.0,57,0,100.0,0.0
89,40.0,40,0,100.0,0.0
90,23.0,23,0,100.0,0.0
91,23.0,23,0,100.0,0.0
92,22.0,22,0,100.0,0.0
93,59.0,59,0,100.0,0.0
94,62.0,60,2,96.8,3.2
95,18.0,16,2,88.9,11.1
96,21.0,19,2,90.5,9.5
97,28.0,26,2,92.9,7.1
98,23.0,21,2,91.3,8.7
99,57.0,55,2,96.5,3.5
100,27.0,25,2,92.6,7.4
101,19.0,17,2,89.5,10.5
102,32.0,30,2,93.8,6.2
103,19.0,17,2,89.5,10.5
104,45.0,43,2,95.6,4.4
105,43.0,41,2,95.3,4.7
106,19.0,17,2,89.5,10.5
107,44.0,42,2,95.5,4.5
108,61.0,55,6,90.2,9.8
109,26.0,20,6,76.9,23.1
110,20.0,14,6,70.0,30.0
111,18.0,12,6,66.7,33.3
112,23.0,17,6,73.9,26.1
113,17.0,11,6,64.7,35.3
114,29.0,23,6,79.3,20.7
115,21.0,15,6,71.4,28.6
116,17.0,11,6,64.7,35.3
117,50.0,44,6,88.0,12.0
118,30.0,24,6,80.0,20.0
119,34.0,28,6,82.4,17.6
120,39.0,33,6,84.6,15.4
121,21.0,15,6,71.4,28.6
122,17.0,12,5,70.6,29.4
123,24.0,22,2,91.7,8.3
124,26.0,24,2,92.3,7.7
125,33.0,31,2,93.9,6.1
126,30.0,28,2,93.3,6.7
127,17.0,15,2,88.2,11.8
128,39.0,37,2,94.9,5.1
129,27.0,25,2,92.6,7.4
130,22.0,16,6,72.7,27.3
131,28.0,22,6,78.6,21.4
132,17.0,11,6,64.7,35.3
133,36.0,30,6,83.3,16.7
134,50.0,44,6,88.0,12.0
135,20.0,14,6,70.0,30.0
136,30.0,24,6,80.0,20.0
137,20.0,14,6,70.0,30.0
138,27.0,21,6,77.8,22.2
139,17.0,11,6,64.7,35.3
140,25.0,19,6,76.0,24.0
141,19.0,13,6,68.4,31.6
142,17.0,11,6,64.7,35.3
143,19.0,13,6,68.4,31.6
144,17.0,11,6,64.7,35.3
145,17.0,11,6,64.7,35.3
146,18.0,12,6,66.7,33.3
147,30.0,24,6,80.0,20.0
148,20.0,14,6,70.0,30.0
149,20.0,14,6,70.0,30.0
150,57.0,51,6,89.5,10.5
151,17.0,11,6,64.7,35.3
152,28.0,22,6,78.6,21.4
153,26.0,20,6,76.9,23.1
154,23.0,18,5,78.3,21.7
155,28.0,26,2,92.9,7.1
156,30.0,28,2,93.3,6.7
157,32.0,30,2,93.8,6.2
158,59.0,57,2,96.6,3.4
159,47.0,45,2,95.7,4.3
160,50.0,44,6,88.0,12.0
161,17.0,11,6,64.7,35.3
162,19.0,13,6,68.4,31.6
163,30.0,24,6,80.0,20.0
164,50.0,44,6,88.0,12.0
165,48.0,42,6,87.5,12.5
166,21.0,15,6,71.4,28.6
167,37.0,31,6,83.8,16.2
168,20.0,14,6,70.0,30.0
169,41.0,35,6,85.4,14.6
170,39.0,33,6,84.6,15.4
171,19.0,13,6,68.4,31.6
172,46.0,40,6,87.0,13.0
173,22.0,16,6,72.7,27.3
174,38.0,32,6,84.2,15.8
175,61.0,55,6,90.2,9.8
176,20.0,14,6,70.0,30.0
177,25.0,19,6,76.0,24.0
178,24.0,18,6,75.0,25.0
179,26.0,20,6,76.9,23.1
180,26.0,20,6,76.9,23.1
181,18.0,12,6,66.7,33.3
182,20.0,14,6,70.0,30.0
183,18.0,12,6,66.7,33.3
184,36.0,30,6,83.3,16.7
185,17.0,11,6,64.7,35.3
186,24.0,18,6,75.0,25.0
187,23.0,17,6,73.9,26.1
188,43.0,37,6,86.0,14.0
189,23.0,17,6,73.9,26.1
190,28.0,22,6,78.6,21.4
191,35.0,29,6,82.9,17.1
192,33.0,27,6,81.8,18.2
193,20.0,14,6,70.0,30.0
194,25.0,19,6,76.0,24.0
195,36.0,30,6,83.3,16.7
196,57.0,51,6,89.5,10.5
197,49.0,43,6,87.8,12.2
198,35.0,29,6,82.9,17.1
199,36.0,30,6,83.3,16.7
200,18.0,12,6,66.7,33.3
201,41.0,35,6,85.4,14.6
202,29.0,23,6,79.3,20.7
203,37.0,31,6,83.8,16.2
204,18.0,12,6,66.7,33.3
205,27.0,21,6,77.8,22.2
206,17.0,11,6,64.7,35.3
207,21.0,15,6,71.4,28.6
208,17.0,11,6,64.7,35.3
209,51.0,45,6,88.2,11.8
210,19.0,13,6,68.4,31.6
211,33.0,27,6,81.8,18.2
212,17.0,11,6,64.7,35.3
213,29.0,23,6,79.3,20.7
214,17.0,11,6,64.7,35.3
215,43.0,40,3,93.0,7.0
