arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
20,8.5,262144,39484548.4494211
20,9.8,32768,51391656.096837
20,12.4,4096,74474083.51949771
20,18.9,512,118539249.92897661
20,56.3,64,208520854.67526522
20,60.0,12,194614959.46777567
20,60.0,18,185482837.29725832
20,60.0,24,176985433.47535652
20,100.0,50,10047115.777215099
20,500.0,200,59536370.66859649
20,2000.0,800,245257585.95102844
22,8.5,262144,35565263.38062961
22,9.8,32768,47607125.2083917
22,12.4,4096,69733609.0179159
22,18.9,512,113793120.57659121
22,56.3,64,202615653.29069647
22,60.0,12,189029976.1753479
22,60.0,18,179859641.10259852
22,60.0,24,171763246.04522493
22,100.0,50,9870878.313843701
22,500.0,200,59336822.54665691
22,2000.0,800,243546491.4267909
24,8.5,262144,32020451.278595902
24,9.8,32768,43495318.8405414
24,12.4,4096,65445623.8686733
24,18.9,512,109302005.70239441
24,56.3,64,195744717.6183199
24,60.0,12,182714921.66659197
24,60.0,18,174294198.5623721
24,60.0,24,166362324.16885838
24,100.0,50,9776531.384645
24,500.0,200,59162313.651176
24,2000.0,800,244157411.8833638
26,8.5,262144,28609504.717864603
26,9.8,32768,39581209.411366805
26,12.4,4096,60913985.787820004
26,18.9,512,104405861.8216156
26,56.3,64,189409300.39723358
26,60.0,12,177161903.06358972
26,60.0,18,168713120.2934492
26,60.0,24,160926268.6004746
26,100.0,50,9606080.7617828
26,500.0,200,58915487.433500506
26,2000.0,800,243204495.95514998
28,8.5,262144,25429201.143325005
28,9.8,32768,36109726.200210795
28,12.4,4096,57494578.576691195
28,18.9,512,99281821.19968489
28,56.3,64,183485039.2912272
28,60.0,12,171593481.36510852
28,60.0,18,163125681.5010958
28,60.0,24,155670045.20602307
28,100.0,50,9415152.805876201
28,500.0,200,58933176.0362915
28,2000.0,800,243962286.6477229
30,8.5,262144,22266744.7121591
30,9.8,32768,32205090.894828696
30,12.4,4096,53091715.6419944
30,18.9,512,94337382.0753071
30,56.3,64,178004508.7470785
30,60.0,12,165264524.29181027
30,60.0,18,157977581.9872024
30,60.0,24,150045563.2834225
30,100.0,50,9277617.7617025
30,500.0,200,58898857.3671207
30,2000.0,800,242770192.76471776
32,8.5,262144,19511593.3346645
32,9.8,32768,29168874.412937902
32,12.4,4096,48745374.14828341
32,18.9,512,89306959.6001523
32,56.3,64,170541786.7556688
32,60.0,12,160257948.56733662
32,60.0,18,151430959.6851552
32,60.0,24,144621178.4571196
32,100.0,50,9114556.8146897
32,500.0,200,58464631.2778991
32,2000.0,800,243432710.98543343
34,8.5,262144,16967852.508701302
34,9.8,32768,25904396.790532503
34,12.4,4096,45246819.399509504
34,18.9,512,84314237.5981149
34,56.3,64,163611236.58964851
34,60.0,12,153826929.15735963
34,60.0,18,145737737.1888681
34,60.0,24,138834622.1827373
34,100.0,50,8907139.050546398
34,500.0,200,58244579.026629806
34,2000.0,800,243291166.1674289
36,8.5,262144,14619434.986862099
36,9.8,32768,23176388.990535997
36,12.4,4096,42279620.4887339
36,18.9,512,79531360.1513032
36,56.3,64,157441370.3854997
36,60.0,12,147318922.1328606
36,60.0,18,139282645.6131879
36,60.0,24,133394763.67857048
36,100.0,50,8737618.980635
36,500.0,200,58182867.7810601
36,2000.0,800,242778398.1628551
38,8.5,262144,12671126.479422402
38,9.8,32768,20757343.4287367
38,12.4,4096,38174851.8813864
38,18.9,512,74064861.2174671
38,56.3,64,151751707.7657154
38,60.0,12,141003141.18660098
38,60.0,18,133110980.14465371
38,60.0,24,126787040.57688291
38,100.0,50,8649946.9819823
38,500.0,200,57901653.8288762
38,2000.0,800,243157565.87574387
40,8.5,262144,10365420.2425632
40,9.8,32768,17790803.263148002
40,12.4,4096,34676394.393135294
40,18.9,512,70062225.9810964
40,56.3,64,142197471.2370949
40,60.0,12,134465540.1144368
40,60.0,18,127350058.09642081
40,60.0,24,120548035.63603611
40,100.0,50,8406208.836863602
40,500.0,200,57683820.2750809
40,2000.0,800,241873870.48777026
