checkpoint_time,algorithm,fcfs_score,rmlf_score,rmlf_ratio,fcfs_ratio
32,FCFS,33.0,0,0.0,0.0
64,RMLF,33.0,180.0,100.0,0.0
96,FCFS,697.0333333333334,180.0,50.0,50.0
128,RMLF,697.0333333333334,316.5,66.7,33.3
160,RMLF,697.0333333333334,292.35,75.0,25.0
192,RMLF,697.0333333333334,266.115,80.0,20.0
224,RMLF,697.0333333333334,239.5035,83.3,16.7
256,RMLF,697.0333333333334,215.55315000000002,85.7,14.3
288,RMLF,697.0333333333334,212.66450166666667,87.5,12.5
320,RMLF,697.0333333333334,206.3980515,88.9,11.1
352,RMLF,697.0333333333334,192.25824635,90.0,10.0
384,RMLF,697.0333333333334,173.032421715,90.9,9.1
416,RMLF,697.0333333333334,318.2291795435,91.7,8.3
448,RMLF,697.0333333333334,354.40626158915,92.3,7.7
480,RMLF,697.0333333333334,325.965635430235,92.9,7.1
512,RMLF,697.0333333333334,420.70240522054485,93.3,6.7
544,RMLF,697.0333333333334,396.6321646984904,93.8,6.2
576,RMLF,697.0333333333334,508.96894822864135,94.1,5.9
608,RMLF,697.0333333333334,1722.0720534057773,94.4,5.6
640,FCFS,848.83,1722.0720534057773,89.5,10.5
672,FCFS,927.697,1722.0720534057773,85.0,15.0
704,FCFS,1226.2606333333333,1722.0720534057773,81.0,19.0
736,FCFS,2727.63457,1722.0720534057773,77.3,22.7
768,RMLF,2727.63457,5101.864848065199,78.3,21.7
800,FCFS,2693.2044463333336,5101.864848065199,75.0,25.0
832,FCFS,2459.8840017,5101.864848065199,72.0,28.0
864,FCFS,2262.562268196667,5101.864848065199,69.2,30.8
896,FCFS,2050.3060413770004,5101.864848065199,66.7,33.3
928,FCFS,1875.2754372393003,5101.864848065199,64.3,35.7
960,FCFS,1843.0812268487036,5101.864848065199,62.1,37.9
992,FCFS,1774.2731041638333,5101.864848065199,60.0,40.0
1024,FCFS,1913.34579374745,5101.864848065199,58.1,41.9
1056,FCFS,3192.011214372705,5101.864848065199,56.2,43.8
1088,FCFS,6200.810092935435,5101.864848065199,54.5,45.5
1120,RMLF,6200.810092935435,5560.928363258679,55.9,44.1
1152,RMLF,6200.810092935435,5684.835526932811,57.1,42.9
1184,RMLF,6200.810092935435,8369.35197423953,58.3,41.7
1216,FCFS,9019.22908364189,8369.35197423953,56.8,43.2
1248,RMLF,9019.22908364189,9721.083443482243,57.9,42.1
1280,FCFS,9217.806175277703,9721.083443482243,56.4,43.6
1312,FCFS,8409.025557749934,9721.083443482243,55.0,45.0
1344,FCFS,8629.123001974942,9721.083443482243,53.7,46.3
1376,FCFS,9001.710701777447,9721.083443482243,52.4,47.6
1408,FCFS,8322.539631599702,9721.083443482243,51.2,48.8
1440,FCFS,7591.285668439732,9721.083443482243,50.0,50.0
1472,FCFS,6980.157101595759,9721.083443482243,48.9,51.1
1504,FCFS,6364.641391436183,9721.083443482243,47.8,52.2
1536,FCFS,6480.677252292565,9721.083443482243,46.8,53.2
1568,FCFS,5877.109527063309,9721.083443482243,45.8,54.2
1600,FCFS,5299.398574356978,9721.083443482243,44.9,55.1
1632,FCFS,5788.458716921281,9721.083443482243,44.0,56.0
1664,FCFS,9132.612845229152,9721.083443482243,43.1,56.9
1696,FCFS,11506.851560706238,9721.083443482243,42.3,57.7
1728,RMLF,11506.851560706238,12893.975099134019,43.4,56.6
1760,FCFS,12330.166404635615,12893.975099134019,42.6,57.4
1792,FCFS,13944.149764172053,12893.975099134019,41.8,58.2
1824,RMLF,13944.149764172053,16467.577589220615,42.9,57.1
1856,FCFS,13777.984787754847,16467.577589220615,42.1,57.9
1888,FCFS,12927.936308979362,16467.577589220615,41.4,58.6
1920,FCFS,11704.642678081427,16467.577589220615,40.7,59.3
1952,FCFS,10924.178410273285,16467.577589220615,40.0,60.0
1984,FCFS,9831.760569245957,16467.577589220615,39.3,60.7
2016,FCFS,8848.58451232136,16467.577589220615,38.7,61.3
2048,FCFS,8016.2260610892245,16467.577589220615,38.1,61.9
2080,FCFS,7214.603454980303,16467.577589220615,37.5,62.5
2112,FCFS,6493.143109482273,16467.577589220615,36.9,63.1
2144,FCFS,5843.828798534046,16467.577589220615,36.4,63.6
2176,FCFS,5260.445918680642,16467.577589220615,35.8,64.2
2208,FCFS,4810.401326812577,16467.577589220615,35.3,64.7
2240,FCFS,4372.861194131319,16467.577589220615,34.8,65.2
2272,FCFS,4683.575074718187,16467.577589220615,34.3,65.7
2304,FCFS,6711.217567246369,16467.577589220615,33.8,66.2
2336,FCFS,6590.762477188399,16467.577589220615,33.3,66.7
2368,FCFS,5979.186229469559,16467.577589220615,32.9,67.1
2400,FCFS,5381.267606522603,16467.577589220615,32.4,67.6
2432,FCFS,4880.474179203676,16467.577589220615,32.0,68.0
2464,FCFS,4395.426761283308,16467.577589220615,31.6,68.4
2496,FCFS,4085.8840851549776,16467.577589220615,31.2,68.8
2528,FCFS,3782.9623433061465,16467.577589220615,30.8,69.2
2560,FCFS,3452.166108975532,16467.577589220615,30.4,69.6
2592,FCFS,3106.949498077979,16467.577589220615,30.0,70.0
2624,FCFS,2796.254548270181,16467.577589220615,29.6,70.4
2656,FCFS,2706.629093443163,16467.577589220615,29.3,70.7
2688,FCFS,2456.466184098847,16467.577589220615,28.9,71.1
2720,FCFS,2210.8195656889625,16467.577589220615,28.6,71.4
2752,FCFS,2012.2376091200663,16467.577589220615,28.2,71.8
2784,FCFS,1833.5138482080597,16467.577589220615,27.9,72.1
2816,FCFS,1660.1624633872539,16467.577589220615,27.6,72.4
2848,FCFS,1932.1462170485286,16467.577589220615,27.3,72.7
2880,FCFS,1938.4315953436758,16467.577589220615,27.0,73.0
2912,FCFS,1839.0884358093083,16467.577589220615,26.7,73.3
2944,FCFS,1655.1795922283775,16467.577589220615,26.4,73.6
2976,FCFS,1539.6616330055397,16467.577589220615,26.1,73.9
3008,FCFS,1479.028803038319,16467.577589220615,25.8,74.2
3040,FCFS,1336.6259227344872,16467.577589220615,25.5,74.5
3072,FCFS,1220.9633304610386,16467.577589220615,25.3,74.7
3104,FCFS,1109.3669974149348,16467.577589220615,25.0,75.0
3136,FCFS,1025.9302976734411,16467.577589220615,24.7,75.3
3168,FCFS,937.337267906097,16467.577589220615,24.5,75.5
3200,FCFS,876.6035411154874,16467.577589220615,24.2,75.8
3232,FCFS,800.9431870039386,16467.577589220615,24.0,76.0
3264,FCFS,1078.3488683035448,16467.577589220615,23.8,76.2
3296,FCFS,1131.180648139857,16467.577589220615,23.5,76.5
3328,FCFS,1024.0625833258714,16467.577589220615,23.3,76.7
3360,FCFS,1011.6563249932843,16467.577589220615,23.1,76.9
3392,FCFS,1083.1573591606225,16467.577589220615,22.9,77.1
