arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
26,"{'L': 16.772, 'H': 64}",17104684.142163835,4329174.572679069,9407894.912085913,2389925.822543244,8622809.145543406
26,"{'L': 7.918, 'H': 512}",16237981.462041087,1131015.6703198235,2125551.197155458,1347019.5186421762,2035974.9826630976
26,"{'L': 5.649, 'H': 4096}",15400836.4384434,107043.85746038864,170291.16588948472,314161.2141560444,164632.89476286323
26,"{'L': 4.639, 'H': 32768}",18004614.363674134,230645.93409379668,297262.6470850315,2900871.4792984193,310319.6062046354
26,"{'L': 4.073, 'H': 262144}",15827366.82924178,223803.21398719904,325180.0805676756,1317832.7811782495,304182.19084785355
26,"{'L': 56.3, 'H': 64}",34802746.745923504,23352204.122444674,33920182.58473327,19631366.30656812,35810771.10409149
26,"{'L': 18.9, 'H': 512}",33541183.671288583,11903910.861159243,23313064.10672561,18457101.275226563,20407386.674060818
26,"{'L': 12.4, 'H': 4096}",33669746.22220996,7376934.229626018,16558965.01979846,19054190.978345867,12196491.357580999
26,"{'L': 9.8, 'H': 32768}",31987227.378937192,4200110.293024935,9724274.236079935,17089943.043168664,6971630.802835087
26,"{'L': 8.5, 'H': 262144}",32623422.843748786,3239410.4881252698,7896607.156606943,17725367.233260613,5218711.446301759
26,"{'L': 32.3, 'H': 512}",52241244.41855674,25820019.508805875,46871148.483720295,37203162.28065472,43987174.96562145
26,"{'L': 19.7, 'H': 4096}",50430747.3049215,15101281.754884053,34271926.6958486,35265870.671096906,25275337.17609146
26,"{'L': 15.3, 'H': 32768}",52120716.055147715,10994387.788418962,29911484.78684378,37120507.95588715,18254937.72336986
26,"{'L': 13.0, 'H': 262144}",42762555.66277349,7708993.524256976,19229471.345567513,27799235.78878592,12561477.730859216
