L,H,bp_parms,arrival_rate,arithmetic,value
16.772,64.0,L16.772/H64,20,RMLFQ_L2_Norm/SRPT_L2_Norm,1.597032442723907
7.918,512.0,L7.918/H512,20,RMLFQ_L2_Norm/SRPT_L2_Norm,1.6902187677209637
5.649,4096.0,L5.649/H4096,20,RMLFQ_L2_Norm/SRPT_L2_Norm,1.5274673548677722
4.639,32768.0,L4.639/H32768,20,RMLFQ_L2_Norm/SRPT_L2_Norm,1.6650022757800054
4.073,262144.0,L4.073/H262144,20,RMLFQ_L2_Norm/SRPT_L2_Norm,1.6538295136233614
16.772,64.0,L16.772/H64,22,RMLFQ_L2_Norm/SRPT_L2_Norm,1.7069659647299662
7.918,512.0,L7.918/H512,22,RMLFQ_L2_Norm/SRPT_L2_Norm,1.5992669883601924
5.649,4096.0,L5.649/H4096,22,RMLFQ_L2_Norm/SRPT_L2_Norm,1.6306813464978214
4.639,32768.0,L4.639/H32768,22,RMLFQ_L2_Norm/SRPT_L2_Norm,1.7150192318415831
4.073,262144.0,L4.073/H262144,22,RMLFQ_L2_Norm/SRPT_L2_Norm,1.7122821256515794
16.772,64.0,L16.772/H64,24,RMLFQ_L2_Norm/SRPT_L2_Norm,1.9119681376007676
7.918,512.0,L7.918/H512,24,RMLFQ_L2_Norm/SRPT_L2_Norm,1.4374930446970005
5.649,4096.0,L5.649/H4096,24,RMLFQ_L2_Norm/SRPT_L2_Norm,1.7035403942063654
4.639,32768.0,L4.639/H32768,24,RMLFQ_L2_Norm/SRPT_L2_Norm,1.6904867638423815
4.073,262144.0,L4.073/H262144,24,RMLFQ_L2_Norm/SRPT_L2_Norm,1.6038670132529975
16.772,64.0,L16.772/H64,26,RMLFQ_L2_Norm/SRPT_L2_Norm,1.8442964783746765
7.918,512.0,L7.918/H512,26,RMLFQ_L2_Norm/SRPT_L2_Norm,1.4683265379925263
5.649,4096.0,L5.649/H4096,26,RMLFQ_L2_Norm/SRPT_L2_Norm,1.8688053942674596
4.639,32768.0,L4.639/H32768,26,RMLFQ_L2_Norm/SRPT_L2_Norm,1.9031953193574105
4.073,262144.0,L4.073/H262144,26,RMLFQ_L2_Norm/SRPT_L2_Norm,2.1321301000305564
16.772,64.0,L16.772/H64,28,RMLFQ_L2_Norm/SRPT_L2_Norm,1.2869211440587756
7.918,512.0,L7.918/H512,28,RMLFQ_L2_Norm/SRPT_L2_Norm,1.8300198627412605
5.649,4096.0,L5.649/H4096,28,RMLFQ_L2_Norm/SRPT_L2_Norm,2.241380812047965
4.639,32768.0,L4.639/H32768,28,RMLFQ_L2_Norm/SRPT_L2_Norm,3.758776152603733
4.073,262144.0,L4.073/H262144,28,RMLFQ_L2_Norm/SRPT_L2_Norm,2.783445046785231
16.772,64.0,L16.772/H64,30,RMLFQ_L2_Norm/SRPT_L2_Norm,0.8628362952774591
7.918,512.0,L7.918/H512,30,RMLFQ_L2_Norm/SRPT_L2_Norm,2.538161895036424
5.649,4096.0,L5.649/H4096,30,RMLFQ_L2_Norm/SRPT_L2_Norm,2.3317273982849365
