frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode3_maximum_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode5_maximum_flow_time,Dynamic_BAL_njobs100_mode6_maximum_flow_time,Dynamic_BAL_njobs100_mode7_maximum_flow_time,Dynamic_BAL_njobs100_mode8_maximum_flow_time
2,39824968.1527737,38820303.755437,37580572.593676,36893965.1000633,34435492.5179291,33696282.3211088,33691646.9151457,35685060.7963036,952934.2,976357.5,1087255.0,1174544.5,1315897.4,1376182.0,1376182.0,1316499.4
4,108320439.2833575,107891260.5941709,107109349.1826901,106618362.1439926,106507705.02791241,106336882.7456964,106336882.761657,106337269.5029134,2300823.0,2323514.0,2362752.4,2397915.5,2426066.5,2433147.6,2433147.6,2433147.6
8,74375447.50413069,71468688.2520975,69906558.90126249,69265235.3541696,68087008.54469581,67026125.8610502,67035284.101248205,67990552.6252555,1500768.6,1593414.2,1649166.3,1678392.0,1748572.4,1809330.9,1809330.9,1764888.9
16,72714177.4237669,70883227.6834718,68244043.7977992,67902554.1803274,67076597.8120628,66970418.7947552,66994756.6660498,67050194.80298029,1416750.3,1450204.3,1581796.6,1665630.6,1778316.0,1880539.3,1862901.4,1778182.8
32,89550869.9281751,86241911.7142251,84978225.4339836,84835494.2378501,84777275.3525724,83054632.6191191,83054631.75479719,84716924.1728165,1834941.9,1935066.0,1977923.8,2013082.7,2058303.4,2119795.0,2119795.0,2050320.3
64,81007042.0218363,81465104.2350313,78046872.8875592,77114938.0575961,76505656.0580007,75917066.8489897,75945394.6783398,76484321.0732719,1696262.6,1637047.9,1770857.2,1848282.2,1938488.5,2076981.1,2076981.1,1952003.5
128,93622285.4140296,92794559.5527908,89435684.4188895,86704460.4963433,86546430.0452934,86041446.07109979,86226284.8237971,86337247.33323249,1826773.5,1865401.7,2005221.7,2075608.2,2110899.7,2195394.0,2179589.5,2121368.0
256,78295085.4757693,75240471.4523645,70173090.5207492,69644072.7942765,68739643.466136,68064273.2057409,68209646.41701621,68833486.0743967,1383529.1,1487378.2,1616367.1,1665323.1,1766183.8,2019152.5,1953322.5,1765686.2
512,59828822.4971277,58591960.96380709,57797166.80925061,56483945.8118044,55584661.1547853,53573099.0818702,53765389.682879195,55671366.15199621,1239630.0,1263728.6,1285840.2,1327803.6,1413681.6,1702254.3,1676033.4,1404422.4
1024,79987343.4009497,79170349.0264627,78395601.30695769,77188911.581158,76275533.6004258,68056247.7650148,69397769.722801,76599819.25349459,1490027.9,1503972.5,1517095.7,1567567.2,1616866.5,1985106.8,1899224.9,1625450.4
2048,76326867.45474091,74676435.8444533,70774461.6582119,68779880.513565,67741916.8523058,64789703.89137091,65242468.1224419,67902480.0340153,1443288.0,1463538.5,1561661.0,1620039.6,1656349.1,1940855.9,1856678.1,1656801.5
4096,95940349.3349888,95522074.33325079,94601879.5164892,92906984.9596728,87708522.2670381,84224872.0787768,84179079.6851861,87817967.7896803,1754528.1,1748923.3,1769143.4,1807378.2,1890164.2,2169610.5,2169610.5,1884113.9
8192,154796433.1268107,154354186.516891,146564921.1477949,148761342.5824584,140324782.9678062,130827652.01932001,132268625.7765954,141399938.3196717,2624274.9,2624520.5,2708290.1,2708735.3,2843390.7,2999513.4,2960861.9,2809238.9
16384,108141175.0489943,108040950.2902483,107629169.4530249,106312249.649835,100068880.59074739,90314359.0150684,91439513.0237684,100052675.3629307,1949900.2,1950485.5,1951923.7,1959219.7,2064766.9,2348132.2,2269068.2,2066743.9
32768,90297770.1051743,89967837.08647129,90013548.21341279,89658356.86852929,88476806.3309728,82324148.2878723,83928140.517212,89139374.4743806,1610287.7,1607963.6,1607209.5,1602678.4,1612671.0,1880723.5,1842387.5,1608654.3
65536,151946064.9855087,152545696.6375269,152578941.5828787,152632966.3468461,152652796.1113824,153371729.59906211,152374216.93324342,152694300.3695004,2259721.7,2172140.9,2172618.5,2173078.5,2177089.0,2299361.2,2355859.5,2177346.7
