arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
38,"{'L': 16.772, 'H': 64}",21664831.5317749,12279.823166479231,27041.236084912984,10485.951363610266,23424.273222450254
38,"{'L': 7.918, 'H': 512}",21710821.67292606,14783.01684366219,24618.716944633812,21866.452524357945,22061.685180420827
38,"{'L': 5.649, 'H': 4096}",21529700.90292046,40475.86060851579,59054.81848249133,139342.7593956715,57501.7454343779
38,"{'L': 4.639, 'H': 32768}",21996365.724589482,33639.22185485271,34979.760433713665,188954.84204433608,35058.22501211378
38,"{'L': 4.073, 'H': 262144}",22693437.036608424,88279.80093996588,115618.57570477159,755805.9005604547,104191.3566136846
38,"{'L': 56.3, 'H': 64}",34810013.85816784,18918209.509802163,30263494.135503124,12919089.70378188,28559552.27630654
38,"{'L': 18.9, 'H': 512}",33550578.1780289,8186186.24680217,15725374.405564148,11344297.478122741,14383572.858965188
38,"{'L': 12.4, 'H': 4096}",32133295.716687668,3958700.6342013283,7684296.0895447675,10095114.766784972,6742089.591767303
38,"{'L': 9.8, 'H': 32768}",34428747.52023007,1817840.2360394602,3628921.8026911244,12160657.707424546,2902794.3169101733
38,"{'L': 8.5, 'H': 262144}",34048045.230279416,1271682.782087577,2105969.682976704,12374897.311830632,1975785.8872891567
38,"{'L': 32.3, 'H': 512}",52662046.75028688,21970285.371093817,41379604.76288361,30389874.224369556,37468565.59625112
38,"{'L': 19.7, 'H': 4096}",48946638.77094944,11752625.87616559,24791880.68308778,26927047.84989556,19612265.06215307
38,"{'L': 15.3, 'H': 32768}",53219770.80312361,7930864.943641393,19395691.591044724,31399517.2053612,12987804.761155713
38,"{'L': 13.0, 'H': 262144}",44988144.16251743,4782856.1706447955,10273164.28932274,23122136.20897734,7827430.29840394
