arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
32,"{'L': 16.772, 'H': 64}",18397404.66589073,65702.34995797335,171705.03565999455,35093.95995039602,119337.54651826892
32,"{'L': 7.918, 'H': 512}",18584896.76529547,29811.486913604294,60121.41842970773,43679.612979054655,52524.22323081037
32,"{'L': 5.649, 'H': 4096}",18682174.89556762,93009.89687662276,152245.6626837034,340864.91368429223,156530.658060969
32,"{'L': 4.639, 'H': 32768}",18617611.786193497,92424.40472083118,155575.5981540807,711442.5404795527,157586.88241094182
32,"{'L': 4.073, 'H': 262144}",18783981.82773421,33239.2233964634,38684.43840874519,185567.16153188312,38995.892681152975
32,"{'L': 56.3, 'H': 64}",34850971.586230144,21366135.793006863,32499087.554627977,16526246.71545572,33170998.019893494
32,"{'L': 18.9, 'H': 512}",33883899.23258738,10239706.233000828,19962292.46003512,15319004.005505841,17281100.44356519
32,"{'L': 12.4, 'H': 4096}",34499729.610119775,5761290.722098304,11596182.795328427,16293658.61207252,9648683.506369613
32,"{'L': 9.8, 'H': 32768}",28838322.525471482,2661864.0995758967,5365942.819593683,10737577.3695715,4437323.636503765
32,"{'L': 8.5, 'H': 262144}",30480462.2067645,2008293.1801256011,4167144.9109024275,12154660.646011801,3188160.6340786847
32,"{'L': 32.3, 'H': 512}",51963309.55218552,23943699.37446177,44262430.66423087,33458820.811914083,41134928.375790715
32,"{'L': 19.7, 'H': 4096}",51538970.9032519,13691263.167079508,31450621.04785688,32901431.49329717,22538137.86338552
32,"{'L': 15.3, 'H': 32768}",49063381.79502796,9374965.26527544,23247336.998603668,30832266.492899414,15306242.473955423
32,"{'L': 13.0, 'H': 262144}",70746784.31546557,6190916.8817575,23991936.99897501,52346598.39534621,10064322.010684773
