arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time
20,8.5,262144,39905426.263595805,39884385.973588094,39884385.973588094,39884385.973588094,39884385.973588094,39884385.973588094,39884385.973588094
20,9.8,32768,51647923.281112395,51639005.6637756,51639005.6637756,51639005.6637756,51639005.6637756,51639005.6637756,51639005.6637756
20,12.4,4096,74133869.35969421,74133161.5298205,74133161.5298205,74133161.5298205,74133161.5298205,74133161.5298205,74133161.5298205
20,18.9,512,118672131.8672487,118672131.8672487,118672131.8672487,118672131.8672487,118672131.8672487,118672131.8672487,118672131.8672487
20,56.3,64,186896004.25402698,186896004.25402698,186896004.25402698,186896004.25402698,186896004.25402698,186896004.25402698,186896004.25402698
22,8.5,262144,36032957.45592911,35845309.2969922,35831446.268007606,35831446.268007606,35831446.268007606,35831446.268007606,35831446.268007606
22,9.8,32768,47582661.42800011,47562289.9867993,47562289.9867993,47562289.9867993,47575352.412065,47562289.9867993,47562289.9867993
22,12.4,4096,69722334.6481539,69709368.3668732,69709368.3668732,69709368.3668732,69709368.3668732,69709368.3668732,69709368.3668732
22,18.9,512,113560334.37209249,113560334.37209249,113560334.37209249,113560334.37209249,113560334.37209249,113560334.37209249,113560334.37209249
22,56.3,64,177787027.45833868,177787027.45833868,177787027.45833868,177787027.45833868,177787027.45833868,177787027.45833868,177787027.45833868
24,8.5,262144,32324910.646098197,32214290.321295798,32209303.482497297,32209303.482497297,32255226.3548427,32209303.482497297,32209303.482497297
24,9.8,32768,43891568.6091892,43743664.7356527,43753691.0594035,43753691.0594035,43753691.0594035,43743664.7356527,43743664.7356527
24,12.4,4096,65955785.7874774,65921593.613774195,65921593.613774195,65921593.613774195,65945169.6729994,65921593.613774195,65921593.613774195
24,18.9,512,108982285.0233942,108982285.0233942,108982285.0233942,108982285.0233942,108982285.0233942,108982285.0233942,108982285.0233942
24,56.3,64,168290996.60982707,168290996.60982707,168290996.60982707,168290996.60982707,168290996.60982707,168290996.60982707,168290996.60982707
26,8.5,262144,28976989.9028458,28632879.6502214,28633903.743988097,28633903.743988097,28646292.939686,28633903.743988097,28633903.743988097
26,9.8,32768,39544049.6448299,39309192.365008295,39297636.7915496,39342647.1205609,39342647.1205609,39297636.7915496,39297636.7915496
26,12.4,4096,60915762.751361296,60886108.68703721,60886108.68703721,60886108.68703721,60886108.68703721,60886108.68703721,60886108.68703721
26,18.9,512,103913508.7019587,103913508.7019587,103913508.7019587,103913508.7019587,103913508.7019587,103913508.7019587,103913508.7019587
26,56.3,64,159075092.4355216,159075092.4355216,159075092.4355216,159075092.4355216,159075092.4355216,159075092.4355216,159075092.4355216
28,8.5,262144,25593516.188428696,24948125.6953068,24944116.8248481,24974823.223193903,24974823.223193903,24944116.8248481,24944116.8248481
28,9.8,32768,35738533.9707592,35510691.984901294,35498031.2063159,35498031.2063159,35498031.2063159,35498031.2063159,35498031.2063159
28,12.4,4096,57413812.846288,57378130.7429782,57378130.7429782,57378130.7429782,57378130.7429782,57378130.7429782,57378130.7429782
28,18.9,512,98846105.15457031,98840834.68618771,98840834.68618771,98840834.68618771,98840834.68618771,98840834.68618771,98840834.68618771
28,56.3,64,149740245.13039222,149740245.13039222,149740245.13039222,149740245.13039222,149740245.13039222,149740245.13039222,149740245.13039222
30,8.5,262144,22389931.743689697,21900390.653530203,21903881.244311,21903881.244311,21903881.244311,21903881.244311,21903881.244311
30,9.8,32768,32607247.875222098,32399613.527000796,32399613.527000796,32399613.527000796,32399613.527000796,32399613.527000796,32399613.527000796
30,12.4,4096,52588331.2186117,52586288.245265104,52586288.245265104,52586288.245265104,52586288.245265104,52586288.245265104,52586288.245265104
30,18.9,512,94418191.04371901,94422284.21874441,94422284.21874441,94422284.21874441,94422284.21874441,94422284.21874441,94422284.21874441
30,56.3,64,140812078.58145648,140812078.58145648,140812078.58145648,140812078.58145648,140812078.58145648,140812078.58145648,140812078.58145648
32,8.5,262144,19381786.2643275,19096809.3933447,19085733.123228602,19085733.123228602,19085733.123228602,19085733.123228602,19085733.123228602
32,9.8,32768,29854660.5947387,29743463.375517804,29743463.375517804,29743463.375517804,29743463.375517804,29743463.375517804,29743463.375517804
32,12.4,4096,49630979.8566308,49577142.25944801,49546917.671101004,49536175.591608204,49536175.591608204,49527779.322726704,49536175.591608204
