frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,165994132.1091001,2345499.7
4,166360661.3145644,2348065.0
8,165017339.1980916,2326902.1
16,170120066.9410991,2359975.2
32,171262827.6343808,2354854.1
64,169040921.5655557,2352668.9
128,171183697.9714506,2344362.4
256,171478151.7380788,2343623.5
512,170634481.765158,2357412.7
1024,171054441.4822151,2321301.5
2048,169779943.7579603,2363014.4
4096,176887855.0194523,2415378.9
8192,171236843.7458302,2333512.6
16384,165902147.6384034,2386922.6
32768,162333100.3971601,2282786.4
65536,135393235.6441575,2173825.0
