arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs1_mode1_L2_norm_flow_time
20,13.0,262144,82073629.8606476
20,15.3,32768,103997944.7910521
20,19.7,4096,142929755.01426834
20,32.3,512,223078823.6645295
22,13.0,262144,77327584.7215696
22,15.3,32768,99312597.0708288
22,19.7,4096,138125849.2528406
22,32.3,512,217753959.42595688
24,13.0,262144,73213682.76531751
24,15.3,32768,94674846.91818382
24,19.7,4096,133789286.70791909
24,32.3,512,212586807.40185073
26,13.0,262144,69374300.91006598
26,15.3,32768,90144474.6112517
26,19.7,4096,128430737.350685
26,32.3,512,207844003.9401051
28,13.0,262144,65077680.357917204
28,15.3,32768,85974269.1207985
28,19.7,4096,123639533.54558559
28,32.3,512,202475724.3272006
30,13.0,262144,61301035.2910259
30,15.3,32768,81922362.85678929
30,19.7,4096,119135753.46646838
30,32.3,512,197610513.0708536
32,13.0,262144,57457874.29885701
32,15.3,32768,77793927.2505314
32,19.7,4096,115589757.32863979
32,32.3,512,191680183.24473438
34,13.0,262144,52852178.5153202
34,15.3,32768,73908221.13723621
34,19.7,4096,110718621.6001642
34,32.3,512,186718272.28729337
36,13.0,262144,49443116.1585554
36,15.3,32768,69714778.16099589
36,19.7,4096,106491855.45204261
36,32.3,512,182270794.21607178
38,13.0,262144,46378078.6467291
38,15.3,32768,64902282.1638898
38,19.7,4096,100513048.602696
38,32.3,512,178280433.0581781
40,13.0,262144,42423287.27677441
40,15.3,32768,62707304.66091211
40,19.7,4096,97877676.3989506
40,32.3,512,171353637.5621156
