frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,41644675.0411347,1554754.3
4,54988983.378316104,1951240.3
8,41265851.178889595,1617791.5
16,57484356.508358896,1914235.7
32,56527720.150518596,2078024.4
64,53765654.9641581,2025778.1
128,41901700.2023137,1655104.1
256,35751512.0412821,1535821.3
512,84734082.67047021,2784222.0
1024,60393055.81627001,2163412.5
2048,66819659.850149795,2259445.7
4096,57228839.787461996,2010370.1
8192,64120457.1945406,2280578.2
16384,41907171.3220859,1747944.1
32768,64665347.2220505,2216071.6
65536,72851006.6326427,1953818.8
