frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,41536503.43303,1613249.7
4,54899943.8597741,2020507.5
8,41096472.2977968,1724460.1
16,57383556.746356905,1953221.0
32,56514336.1085603,2107940.4
64,53786785.8503263,2055519.1
128,40957254.4095121,1712174.1
256,35744469.7066872,1611965.4
512,84733523.8995699,2785570.9
1024,60404040.159652494,2201818.0
2048,66482030.72818349,2260471.1
4096,57221180.529165804,2016195.3
8192,64018511.3973034,2304871.3
16384,41861042.8066721,1752105.6
32768,64620768.768438004,2222622.7
65536,72854825.9891791,1953818.8
