arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
20,13.0,262144,82502459.3802643
20,15.3,32768,103837477.4020512
20,19.7,4096,143215150.73025018
20,32.3,512,223492187.1061686
20,90.0,18,320555589.3421467
20,90.0,27,305945627.1870588
20,90.0,36,292222558.0737182
20,300.0,150,33923463.50398539
20,1500.0,600,182939923.22811842
20,8000.0,3000,991486265.5814041
22,13.0,262144,78063462.86273679
22,15.3,32768,99669077.23995629
22,19.7,4096,137444623.05803472
22,32.3,512,217286718.4160355
22,90.0,18,314489617.4916279
22,90.0,27,300134536.8612752
22,90.0,36,286580916.0773186
22,300.0,150,33574321.744413905
22,1500.0,600,182205562.61634278
22,8000.0,3000,993955323.5936811
24,13.0,262144,74382550.349722
24,15.3,32768,95425966.19064792
24,19.7,4096,133282015.54036602
24,32.3,512,212774074.12556967
24,90.0,18,308919216.6985013
24,90.0,27,294898006.84003365
24,90.0,36,280866121.691641
24,300.0,150,33461224.5514256
24,1500.0,600,181629152.7186051
24,8000.0,3000,989970250.8778255
26,13.0,262144,69247638.3800973
26,15.3,32768,90530759.8373597
26,19.7,4096,128190759.05595641
26,32.3,512,207882871.4727506
26,90.0,18,302578474.4345418
26,90.0,27,288140954.70394063
26,90.0,36,275933855.3634
26,300.0,150,33207590.241288297
26,1500.0,600,182426785.9842294
26,8000.0,3000,991358624.8077732
28,13.0,262144,65077142.91102181
28,15.3,32768,86471506.55228911
28,19.7,4096,124315919.3180053
28,32.3,512,202787199.4247746
28,90.0,18,297228457.5565268
28,90.0,27,282892921.68582416
28,90.0,36,270441987.1880216
28,300.0,150,33229304.138893
28,1500.0,600,183663206.8956309
28,8000.0,3000,991061025.348136
30,13.0,262144,61283211.02966521
30,15.3,32768,82670516.09939729
30,19.7,4096,119274297.91286941
30,32.3,512,197957384.2923065
30,90.0,18,291311052.61627245
30,90.0,27,277239185.5066029
30,90.0,36,264875717.8780604
30,300.0,150,32777760.4334157
30,1500.0,600,181676379.3885482
30,8000.0,3000,991323721.1532491
32,13.0,262144,57470290.230128095
32,15.3,32768,78009566.3016104
32,19.7,4096,115579300.54464169
32,32.3,512,191801648.7218251
32,90.0,18,285479076.5833904
32,90.0,27,272192712.9253148
32,90.0,36,259632860.36079708
32,300.0,150,32580814.0839054
32,1500.0,600,181745992.7940624
32,8000.0,3000,993942839.5735347
34,13.0,262144,53052782.4487349
34,15.3,32768,73605284.03012058
34,19.7,4096,109729208.3937349
34,32.3,512,187755674.7528186
34,90.0,18,280123895.9706661
34,90.0,27,266325721.5702815
34,90.0,36,254104259.33222562
34,300.0,150,32650017.2276031
34,1500.0,600,180712200.4042454
34,8000.0,3000,990582113.5209506
36,13.0,262144,50064254.422022
36,15.3,32768,70015278.26156381
36,19.7,4096,105700275.8963914
36,32.3,512,182478606.15815824
36,90.0,18,273761604.3758212
36,90.0,27,260399485.63055524
36,90.0,36,248828308.4101767
36,300.0,150,32223321.013624303
36,1500.0,600,180939179.45678186
36,8000.0,3000,987767459.6571217
38,13.0,262144,46439764.96277611
38,15.3,32768,66256030.445679404
38,19.7,4096,101257949.03610381
38,32.3,512,176491823.14419648
38,90.0,18,268026713.08246142
38,90.0,27,255180010.5676785
38,90.0,36,243856432.5833702
38,300.0,150,32337557.7889467
38,1500.0,600,181552727.94378752
38,8000.0,3000,988726056.8833364
40,13.0,262144,41881849.8258019
40,15.3,32768,62322227.48796199
40,19.7,4096,97423232.5064789
40,32.3,512,172273085.103454
40,90.0,18,262283877.37626353
40,90.0,27,249742794.03553763
40,90.0,36,237778613.0098496
40,300.0,150,32010231.460661493
40,1500.0,600,180784606.26128358
40,8000.0,3000,987342415.2094157
