arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm
36,"{'L': 16.772, 'H': 64}",20707387.860485133,16453.316504583505,38988.546266820464,12718.916620530224,31470.92073645129
36,"{'L': 7.918, 'H': 512}",21304361.977537934,22446.099616637184,38742.584671134166,33850.135834291716,37473.9902332271
36,"{'L': 5.649, 'H': 4096}",20704111.539519317,39636.71951612545,53393.754672246076,120455.75887021757,49356.46856289457
36,"{'L': 4.639, 'H': 32768}",21250104.695342492,80986.51240793124,83471.94713195566,731349.8065180574,82857.07354837003
36,"{'L': 4.073, 'H': 262144}",20922957.511952966,70680.348513572,84396.91945207478,496734.4730658423,96124.0829813216
36,"{'L': 56.3, 'H': 64}",34806837.94242256,19389768.98511011,30940775.88213914,13969026.38333907,29758187.084139332
36,"{'L': 18.9, 'H': 512}",33892316.121490486,8921158.994429927,17342143.072021663,12790361.550090091,15314868.870994065
36,"{'L': 12.4, 'H': 4096}",35315162.51271378,5177757.4306484265,10167056.690104024,14544913.244724253,8438260.048103755
36,"{'L': 9.8, 'H': 32768}",31207385.929082237,2170142.1139879297,4466303.456729402,10365263.00848073,3637658.87591525
36,"{'L': 8.5, 'H': 262144}",37413382.64954276,1206390.233710469,3052619.034893316,16783205.937960006,1953815.4133110938
36,"{'L': 32.3, 'H': 512}",51512774.7609692,22379107.124641992,42139884.22215037,30912323.306356788,38358055.67894267
36,"{'L': 19.7, 'H': 4096}",51154108.179515116,12437582.41294103,27719286.942734405,30553115.18209068,20595440.78775873
36,"{'L': 15.3, 'H': 32768}",51515319.10114115,8654726.574760523,20839608.404794656,30668673.983253125,14434601.299959969
36,"{'L': 13.0, 'H': 262144}",47636173.641721,5313756.811727085,13874939.922413394,26504080.623257052,8595428.43261719
