arrival_rate,bp_parameter,RR_ratio,SRPT_ratio,SETF_ratio,FCFS_ratio,RMLF_ratio
20,"{'L': 16.772, 'H': 64}",0.404274433481888,0.9087339005930353,0.5218432967319218,1.1089797462462512,0.5403403348648137
20,"{'L': 7.918, 'H': 512}",0.28144723051229553,1.7323537029967109,1.303559733539859,1.1919680929818175,1.1762113852812908
20,"{'L': 5.649, 'H': 4096}",0.18331565157935764,1.072140360596038,0.6542885342039658,0.4162895437881697,1.019079249645364
20,"{'L': 4.639, 'H': 32768}",0.1311660446036541,1.3403869037392009,0.9436032142529579,0.6341477043752825,0.9515298455910313
20,"{'L': 4.073, 'H': 262144}",0.0878597969671574,1.1587109595356628,1.0687423776465563,0.9100457677937079,1.0457570345777865
20,"{'L': 56.3, 'H': 64}",0.6375323394683448,0.9612820283924839,0.6531796777940065,1.1233767819995655,0.6415752691688792
20,"{'L': 18.9, 'H': 512}",0.8077089347718299,1.798952483798227,0.9080376292776731,1.1064797980931411,1.1059169049427915
20,"{'L': 12.4, 'H': 4096}",0.5550392308808735,1.7915361480006315,0.893455025813116,0.712929591304187,1.1402975682458496
20,"{'L': 9.8, 'H': 32768}",0.29661745298985165,1.7375788707307265,0.5798649086580308,0.3436615757517025,1.2635944461892543
20,"{'L': 8.5, 'H': 262144}",0.37785851054611463,1.702531635568776,0.9600193374782818,0.6769395954543065,1.1132085869747652
20,"{'L': 32.3, 'H': 512}",0.8504663803983508,1.4862052340758423,0.8236869977325043,1.1086841373036431,0.9107306933069281
20,"{'L': 19.7, 'H': 4096}",0.5425533637095107,1.5757931306917938,0.7361233813378041,0.6925437463109124,1.010849424502035
20,"{'L': 15.3, 'H': 32768}",0.1539998075476458,1.212538641133815,0.2387547041898427,0.15826621441205826,1.0934624761726779
20,"{'L': 13.0, 'H': 262144}",0.6335445967163675,1.5373146818777133,0.8557790352759675,1.0843452223569354,0.9383400515147804
22,"{'L': 16.772, 'H': 64}",0.15885267237217315,0.9468001500295166,0.3870510099109842,1.0877066008465925,0.47611619412723766
22,"{'L': 7.918, 'H': 512}",0.34542299332002885,2.185973766300134,1.1895110819801922,1.1126091431084093,1.114599487042809
22,"{'L': 5.649, 'H': 4096}",0.21501634298620168,1.575195065105106,1.214499123081675,0.33926631634118865,1.4568600945361805
22,"{'L': 4.639, 'H': 32768}",0.014255571473007093,1.0190308825584657,0.8519071802557779,1.0035226186899404,0.8760655615999356
22,"{'L': 4.073, 'H': 262144}",0.20137185858664514,1.406919817467012,0.9280740789121207,0.5775572084175606,0.9926579424240844
