arrival_rate,RDYNAMIC/RR_ratio,RDYNAMIC/SRPT_ratio,RDYNAMIC/SETF_ratio,RDYNAMIC/FCFS_ratio,RDYNAMIC/RMLF_ratio
20,0.5762257744720457,1.706125974024982,0.8933445758135689,0.9694806981131137,1.0224148709160432
22,0.5679529705677206,1.8236712709443466,0.9275635979839557,0.9520252326583623,1.0932439629595951
24,0.4670350290293928,1.7840444970040201,0.7694453583921497,0.7644708951625215,1.0643150203038596
26,0.4790248179893357,1.9879890179304436,0.9588562206749633,0.8297963018611544,1.1791238242353121
28,0.3601201834467945,1.773914755773403,0.5984278557300419,0.5969311667237461,1.068413809512005
30,0.41008956009187925,1.8487314311414416,0.8292821433199191,0.9161511818828599,1.0664213388880608
32,0.36784613735305144,1.82813637978314,0.8190468470280391,0.8257704165980304,1.0690772834802487
34,0.17471513056353183,1.7148934715785256,0.4637909046682373,0.24300969681324974,1.0292283488157787
36,0.27190637100903714,1.923155197330427,1.0149551819975797,0.7218610324041431,1.121714173053786
38,0.2932216606396322,1.9384218036269436,0.8637482302921078,0.6555230713207882,1.144501044596934
40,0.2561331112053371,2.0857692062940725,1.1569954051086935,0.8342439579225095,1.1541012053944877
