frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time,Dynamic_njobs100_mode7_maximum_flow_time,Dynamic_njobs100_mode8_maximum_flow_time
2,79242906.0161674,78618835.5284604,78618875.7655933,78643731.95256409,78646391.9271239,78625877.7460487,78625877.7460487,78625877.7460487,2176157.4,2217392.5,2221198.7,2221198.7,2221198.7,2221198.7,2221198.7,2221198.7
4,79428124.63786581,79205087.83567539,79148475.3101246,79154156.2094833,79218728.4088559,79162427.9546237,79162427.9546237,79162427.9546237,2229545.6,2237941.6,2241690.4,2241690.4,2238150.1,2241690.4,2241690.4,2241690.4
8,81410776.1477682,79418416.9655673,79188593.5151837,79202894.10745339,79310333.2640146,79188112.78234711,79189900.2791204,79189267.0644532,2071670.8,2177981.8,2198980.7,2198980.7,2190495.7,2198980.7,2198980.7,2198980.7
16,80707219.2783653,80555058.1785313,80515637.2334713,80522624.5733964,80514934.60459301,80458957.27942589,80458957.27942589,80458957.27942589,2190783.9,2195311.1,2195311.1,2195311.1,2195311.1,2195311.1,2195311.1,2195311.1
32,80649989.9888752,80562878.4641744,80355665.479304,80352776.22970149,80352776.22970149,80344204.1113394,80353890.1460591,80345318.027697,2190832.7,2191641.6,2195373.6,2195373.6,2195373.6,2195373.6,2195373.6,2195373.6
64,81086826.35189119,80871877.74446501,80844239.0218991,80843402.621425,80966218.3264886,80844097.59440771,80844097.59440771,80844097.59440771,2247604.1,2248070.8,2250391.4,2250391.4,2248070.8,2250391.4,2250391.4,2250391.4
128,82079837.651671,81748114.0469341,81612179.1496421,81606943.3537055,81627499.9862602,81606943.3537055,81606943.3537055,81606943.3537055,2153414.3,2164398.7,2172601.5,2172601.5,2172601.5,2172601.5,2172601.5,2172601.5
256,84743949.499541,82055640.001845,81724685.5992856,81693435.74374971,81729261.46763119,81693435.74374971,81693435.74374971,81703143.2575158,2092300.5,2232437.3,2237122.5,2237122.5,2237122.5,2237122.5,2237122.5,2237122.5
512,85695863.0127119,82368099.9243156,81999548.083514,81882492.45452419,81925792.3109552,81873852.2804144,81873852.2804144,81873852.2804144,2036474.2,2207449.6,2224713.7,2225533.2,2225533.2,2225533.2,2225533.2,2225533.2
1024,84151545.070677,82754695.3229526,82119641.0490409,82070440.6108517,82234387.9724893,81921425.3817927,81920464.3975244,81977926.4019214,2066392.6,2141095.3,2169125.1,2177586.1,2177586.1,2177586.1,2177586.1,2177586.1
2048,92745333.0362615,84714208.5050705,83131078.7522454,81636190.1454623,81628517.1798449,81182606.67545149,81230870.68160239,81402013.16511199,1802567.5,2051617.9,2087314.4,2213099.9,2217877.0,2217877.0,2217877.0,2215147.2
4096,102887433.42161241,96592481.4598074,86742405.0895702,84157439.6500774,82393133.4407081,81896519.76344821,81927597.4739615,82034107.4624008,1722595.4,1823413.5,2184038.6,2256434.8,2293004.2,2301076.0,2301076.0,2301076.0
8192,89985248.3073283,89196982.0807941,90687032.92462161,89289224.3998409,82355894.6254719,81503375.47621009,81499703.80967669,82693382.6616768,1869807.3,1885369.5,1774431.3,1739537.1,2149888.8,2189707.3,2185204.6,2142910.6
16384,93356404.3075896,89243759.8449069,89365997.9720145,85165700.7409495,80257940.3061364,76759353.0081815,77640167.0032745,81334493.4030581,1805609.0,1910640.6,1841198.8,1965207.2,2150683.5,2241512.0,2224697.2,2138636.1
32768,94211325.2137193,97159379.7907399,96385530.8474845,91976516.8864024,87090219.8144806,78434646.7998337,80172996.06018099,85150810.5971498,1661128.1,1507246.3,1528043.0,1632070.8,1764542.3,2140847.2,2107846.3,1836744.1
65536,90153096.22352569,88952434.7732044,86603596.9890322,85903506.71600631,83033855.4452336,63669759.37939761,66219394.787869,86655223.5157078,1321582.7,1384708.9,1452798.3,1464331.9,1546169.5,2055153.8,2000909.0,1471371.8
