arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time
20,13.0,262144,80889741.6997838,80889741.6997838,80889741.6997838,80889741.6997838,80889741.6997838,80889741.6997838,80889741.6997838,80889741.6997838
20,15.3,32768,102354385.13667831,102354385.13667831,102354385.13667831,102354385.13667831,102354385.13667831,102354385.13667831,102354385.13667831,102354385.13667831
20,19.7,4096,141903073.4317873,141903073.4317873,141903073.4317873,141903073.4317873,141903073.4317873,141903073.4317873,141903073.4317873,141903073.4317873
20,32.3,512,222335703.73068962,222335703.73068962,222335703.73068962,222335703.73068962,222335703.73068962,222335703.73068962,222335703.73068962,222335703.73068962
20,90.0,18,318658386.216025,319035929.44836223,319299022.75135934,319386877.4632544,319382889.2446574,319389638.8999778,319388031.4452362,319388992.30728114
20,90.0,27,304855812.52137095,304855812.52137095,304855812.52137095,304855812.52137095,304855812.52137095,304855812.52137095,304855812.52137095,304855812.52137095
20,90.0,36,291171717.83791125,291171717.83791125,291171717.83791125,291171717.83791125,291171717.83791125,291171717.83791125,291171717.83791125,291171717.83791125
20,300.0,150,33914372.3840725,33914372.3840725,33914372.3840725,33914372.3840725,33914372.3840725,33914372.3840725,33914372.3840725,33914372.3840725
20,1500.0,600,182939676.27069092,182939676.27069092,182939676.27069092,182939676.27069092,182939676.27069092,182939676.27069092,182939676.27069092,182939676.27069092
20,8000.0,3000,991473864.4085948,991473864.4085948,991473864.4085948,991473864.4085948,991473864.4085948,991473864.4085948,991473864.4085948,991473864.4085948
22,13.0,262144,76202328.0472619,76202328.0472619,76202328.0472619,76202328.0472619,76202328.0472619,76202328.0472619,76202328.0472619,76202328.0472619
22,15.3,32768,97943524.6847317,97943524.6847317,97943524.6847317,97943524.6847317,97943524.6847317,97943524.6847317,97943524.6847317,97943524.6847317
22,19.7,4096,135906113.28954232,135906113.28954232,135906113.28954232,135906113.28954232,135906113.28954232,135906113.28954232,135906113.28954232,135906113.28954232
22,32.3,512,215920715.52161473,215920715.52161473,215920715.52161473,215920715.52161473,215920715.52161473,215920715.52161473,215920715.52161473,215920715.52161473
22,90.0,18,310540309.29473776,310840914.13593817,311209682.2323368,311878301.6404405,312337287.8399614,313037403.5553872,313028040.93237966,312379927.4809371
22,90.0,27,298772343.77739114,298796705.0517311,298796705.0517311,298796705.0517311,298796705.0517311,298796705.0517311,298796705.0517311,298796705.0517311
22,90.0,36,285282410.7813745,285282410.7813745,285282410.7813745,285282410.7813745,285282410.7813745,285282410.7813745,285282410.7813745,285282410.7813745
22,300.0,150,33562626.0665182,33562626.0665182,33562626.0665182,33562626.0665182,33562626.0665182,33562626.0665182,33562626.0665182,33562626.0665182
22,1500.0,600,182205232.1366842,182205232.1366842,182205232.1366842,182205232.1366842,182205232.1366842,182205232.1366842,182205232.1366842,182205232.1366842
22,8000.0,3000,993928813.9500898,993928813.9500898,993928813.9500898,993928813.9500898,993928813.9500898,993928813.9500898,993928813.9500898,993928813.9500898
24,13.0,262144,72251720.0403769,72244787.06916949,72244787.06916949,72244787.06916949,72244787.06916949,72244787.06916949,72244787.06916949,72244787.06916949
24,15.3,32768,93462472.5588834,93462472.5588834,93462472.5588834,93462472.5588834,93462472.5588834,93462472.5588834,93462472.5588834,93462472.5588834
24,19.7,4096,131514159.9358278,131514159.9358278,131514159.9358278,131514159.9358278,131514159.9358278,131514159.9358278,131514159.9358278,131514159.9358278
24,32.3,512,211186311.6821329,211186311.6821329,211186311.6821329,211186311.6821329,211186311.6821329,211186311.6821329,211186311.6821329,211186311.6821329
24,90.0,18,303349088.37039715,302481425.073279,302634777.70686847,304184436.3635057,304338746.8512879,306820605.2508754,306810212.7586157,302675785.687431
24,90.0,27,293153694.1196539,293275358.7860378,293278833.12634045,293278833.12634045,293279144.19210815,293278890.7207026,293278890.7207026,293278890.7207026
24,90.0,36,279296197.4328443,279298653.37972575,279298653.37972575,279298653.37972575,279298653.37972575,279298653.37972575,279298653.37972575,279298653.37972575
24,300.0,150,33446470.4850296,33446470.4850296,33446470.4850296,33446470.4850296,33446470.4850296,33446470.4850296,33446470.4850296,33446470.4850296
24,1500.0,600,181628702.84055823,181628702.84055823,181628702.84055823,181628702.84055823,181628702.84055823,181628702.84055823,181628702.84055823,181628702.84055823
24,8000.0,3000,989968767.9756882,989968767.9756882,989968767.9756882,989968767.9756882,989968767.9756882,989968767.9756882,989968767.9756882,989968767.9756882
26,13.0,262144,66903238.27007691,66874352.13767071,66874352.13767071,66874352.13767071,66874352.13767071,66874352.13767071,66874352.13767071,66874352.13767071
26,15.3,32768,88287147.394761,88287147.394761,88287147.394761,88287147.394761,88287147.394761,88287147.394761,88287147.394761,88287147.394761
26,19.7,4096,126170256.0086643,126170256.0086643,126170256.0086643,126170256.0086643,126170256.0086643,126170256.0086643,126170256.0086643,126170256.0086643
26,32.3,512,206051894.3742923,206051894.3742923,206051894.3742923,206051894.3742923,206051894.3742923,206051894.3742923,206051894.3742923,206051894.3742923
26,90.0,18,293624146.02583873,294267569.0829879,296576926.18436974,297260067.200178,297317706.95226794,297242659.024087,296532477.96599674,297330747.37510455
26,90.0,27,285768935.5468317,285979755.94270074,286121089.99708045,286142169.4740439,286142538.1513096,286139737.17446816,286139737.17446816,286139737.17446816
26,90.0,36,274049517.7239617,274049517.7239617,274049517.7239617,274049517.7239617,274049517.7239617,274049517.7239617,274049517.7239617,274049517.7239617
26,300.0,150,33189614.983330198,33189614.983330198,33189614.983330198,33189614.983330198,33189614.983330198,33189614.983330198,33189614.983330198,33189614.983330198
26,1500.0,600,182426261.6664926,182426261.6664926,182426261.6664926,182426261.6664926,182426261.6664926,182426261.6664926,182426261.6664926,182426261.6664926
26,8000.0,3000,991346975.782192,991346975.782192,991346975.782192,991346975.782192,991346975.782192,991346975.782192,991346975.782192,991346975.782192
28,13.0,262144,62485400.326801695,62406049.04601719,62406049.04601719,62406049.04601719,62434538.4963274,62406049.04601719,62406049.04601719,62406049.04601719
28,15.3,32768,83976478.7146946,83976478.7146946,83976478.7146946,83976478.7146946,83976478.7146946,83976478.7146946,83976478.7146946,83976478.7146946
28,19.7,4096,122048184.0215873,122048184.0215873,122048184.0215873,122048184.0215873,122048184.0215873,122048184.0215873,122048184.0215873,122048184.0215873
28,32.3,512,200700280.6420583,200700280.6420583,200700280.6420583,200700280.6420583,200700280.6420583,200700280.6420583,200700280.6420583,200700280.6420583
28,90.0,18,287383694.63277835,288264837.8399919,288848379.3043027,288881294.8726307,288881262.06098145,288875943.6032858,288813919.4731399,288881306.5305559
28,90.0,27,278633066.5386703,279391655.3701123,280179601.11759937,280499119.5041386,280576985.76701677,280560674.9592911,280565968.13801557,280555725.45670396
