arrival_rate,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time
20,8.5,262144,60806534.2382182
20,9.8,32768,79861125.34614211
20,12.4,4096,117115967.1390214
20,18.9,512,190653764.97793323
20,56.3,64,328374635.1874007
20,60.0,12,313454424.45919293
20,60.0,18,300459497.8059162
20,60.0,24,287300796.1393892
20,100.0,50,16717357.976036299
20,500.0,200,99255813.9272985
20,2000.0,800,406882179.5106527
22,8.5,262144,54491800.560176395
22,9.8,32768,73509107.7778135
22,12.4,4096,109225524.9836547
22,18.9,512,182278326.1513332
22,56.3,64,313419331.89468235
22,60.0,12,300585400.3295825
22,60.0,18,287881565.97570133
22,60.0,24,276031276.6483404
22,100.0,50,16387580.104176696
22,500.0,200,98947304.4501502
22,2000.0,800,404086474.3069081
24,8.5,262144,48990652.939937904
24,9.8,32768,67077907.46167711
24,12.4,4096,102097215.3735209
24,18.9,512,174467932.8942227
24,56.3,64,298471151.76393986
24,60.0,12,285933235.0083276
24,60.0,18,275242287.03620416
24,60.0,24,263973124.47285843
24,100.0,50,16217077.8019534
24,500.0,200,98742935.4346423
24,2000.0,800,405231403.56436074
26,8.5,262144,43650987.6758877
26,9.8,32768,60596104.9830565
26,12.4,4096,94552982.6466432
26,18.9,512,165455138.99601498
26,56.3,64,284056744.79450893
26,60.0,12,272532047.72918427
26,60.0,18,262289610.19658098
26,60.0,24,251742928.95889753
26,100.0,50,15891588.017214
26,500.0,200,98370168.26485522
26,2000.0,800,403691078.0677563
28,8.5,262144,38650433.162571095
28,9.8,32768,55105396.5505952
28,12.4,4096,88937617.2404968
28,18.9,512,156413163.79575723
28,56.3,64,268934987.6385052
28,60.0,12,258891069.09800792
28,60.0,18,249172406.76281947
28,60.0,24,239805779.01515213
28,100.0,50,15525558.454015499
28,500.0,200,98454646.1783005
28,2000.0,800,405081655.07860756
30,8.5,262144,33750798.062076405
30,9.8,32768,49065863.816096
30,12.4,4096,81812793.460354
30,18.9,512,147700957.2516743
30,56.3,64,253553158.0740269
30,60.0,12,243966108.80443987
30,60.0,18,236555026.31362072
30,60.0,24,226663787.99738365
30,100.0,50,15242460.540468499
30,500.0,200,98431681.64151731
30,2000.0,800,403159176.21312356
32,8.5,262144,29543892.3326406
32,9.8,32768,44153334.8579021
32,12.4,4096,74884833.027807
32,18.9,512,138747082.56867248
32,56.3,64,238062193.5691463
32,60.0,12,231046602.80498943
32,60.0,18,221532887.37036437
32,60.0,24,214173061.3059513
32,100.0,50,14911635.361678202
32,500.0,200,97787884.039608
32,2000.0,800,404310173.24406385
34,8.5,262144,25530148.1203787
34,9.8,32768,39328003.43164001
34,12.4,4096,69010440.51824
34,18.9,512,129782258.45049341
34,56.3,64,222781023.38486534
34,60.0,12,215754133.017623
34,60.0,18,207711789.56947902
34,60.0,24,200742701.61243492
34,100.0,50,14489760.337683197
34,500.0,200,97453914.50697199
34,2000.0,800,404111214.1930405
36,8.5,262144,22199717.559675097
36,9.8,32768,35248841.09293629
36,12.4,4096,64435755.49432
36,18.9,512,121262579.3018552
36,56.3,64,206537665.0331331
36,60.0,12,200360497.60556108
36,60.0,18,193172745.319392
36,60.0,24,187784984.1388298
36,100.0,50,14133452.138241101
36,500.0,200,97393590.04389349
36,2000.0,800,403348622.54357857
38,8.5,262144,19206094.6455715
38,9.8,32768,31492655.8091595
38,12.4,4096,57762432.2806887
38,18.9,512,111444623.5196981
38,56.3,64,190539232.84239823
38,60.0,12,185265556.9877726
38,60.0,18,178609345.7932662
38,60.0,24,173063640.64536446
38,100.0,50,13920388.2945811
38,500.0,200,96922916.30341521
38,2000.0,800,404043662.4873326
40,8.5,262144,15597616.365031302
40,9.8,32768,26821386.0180826
40,12.4,4096,52418371.4039729
40,18.9,512,104177166.93513069
40,56.3,64,173849196.64735258
40,60.0,12,170424853.39283982
40,60.0,18,165362024.9255746
40,60.0,24,158904487.1308716
40,100.0,50,13413992.966767699
40,500.0,200,96613791.254276
40,2000.0,800,402094228.305685
