frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,48220230.7940682,2131410.7
4,48216118.6249857,2085213.2
8,48159922.1655665,2156669.4
16,48618032.5688775,2225222.7
32,48842005.7310089,2148509.6
64,50109088.93708269,2178756.9
128,50096906.1756498,2122621.8
256,50234663.5392531,2128061.0
512,49696014.255055204,2099993.2
1024,50221607.5137046,2127644.0
2048,50838874.7098625,2148275.0
4096,49007428.672651306,2143176.4
8192,52313480.1675067,2150513.2
16384,49531289.8076815,2119324.4
32768,50228789.541648105,2126038.2
65536,54592964.8177201,2110272.5
