frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,73895366.7192767,2221198.7
4,74533323.108136,2241690.4
8,74602680.08491,2198579.1
16,75963027.5078589,2195311.1
32,75824770.9625744,2198385.7
64,76423502.18825309,2250391.4
128,77368835.5802465,2169416.2
256,77463162.6205662,2235875.3
512,77700103.2357327,2225533.2
1024,77742513.0812958,2177586.1
2048,77073886.8415645,2217877.0
4096,77735951.4141999,2301076.0
8192,77581844.64636381,2195816.4
16384,73028755.1704229,2241512.0
32768,74376958.1570959,2140847.2
65536,60494400.367025495,2055153.8
