frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,45708415.7019834,1613056.1
4,65227343.7460338,2020313.8
8,46734869.4861266,1724167.6
16,67166939.0109348,1953175.3
32,65841754.8946725,2107928.6
64,60811669.18836041,2055519.1
128,46587563.7125029,1712140.4
256,41163748.0662643,1611949.8
512,98823652.62438181,2785520.8
1024,70859460.979607,2201748.9
2048,78143868.62230161,2260460.7
4096,66880074.619761705,2012445.7
8192,74863551.83656959,2304871.3
16384,48878113.5712541,1752066.8
32768,76351931.0207718,2222584.3
65536,87380862.3145879,1932889.6
