arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
20,13.0,262144,268479252.4333417
20,15.3,32768,294119681.89499855
20,19.7,4096,338901308.1458558
20,32.3,512,398001753.402356
20,90.0,18,430179975.8422942
20,90.0,27,424825138.0446738
20,90.0,36,416168986.7895479
20,300.0,150,44253215.3893936
20,1500.0,600,220082853.1748568
20,8000.0,3000,1168987582.5825434
22,13.0,262144,247994440.69499248
22,15.3,32768,275175377.249224
22,19.7,4096,323196793.21606934
22,32.3,512,390418007.8953023
22,90.0,18,429053940.57103
22,90.0,27,422789923.6194046
22,90.0,36,413147068.3208405
22,300.0,150,44018642.1137317
22,1500.0,600,220151223.9789245
22,8000.0,3000,1172901770.8332973
24,13.0,262144,226230289.23273554
24,15.3,32768,260393390.46998882
24,19.7,4096,313482954.33083314
24,32.3,512,383864436.3177446
24,90.0,18,427802336.15675116
24,90.0,27,420833129.5392191
24,90.0,36,410068551.3303336
24,300.0,150,44055142.6675866
24,1500.0,600,219645471.9935854
24,8000.0,3000,1167777272.9789062
26,13.0,262144,204767496.91802692
26,15.3,32768,242409855.22579536
26,19.7,4096,297782058.4580203
26,32.3,512,376985120.9457329
26,90.0,18,425104086.4149246
26,90.0,27,416883356.0686522
26,90.0,36,408022876.6231807
26,300.0,150,44057473.0317051
26,1500.0,600,220735045.8469325
26,8000.0,3000,1171111708.5022426
28,13.0,262144,194444719.7538009
28,15.3,32768,230091752.2541786
28,19.7,4096,284079198.8005258
28,32.3,512,369976232.81963193
28,90.0,18,422280794.55247957
28,90.0,27,414422754.4017464
28,90.0,36,404466675.8315649
28,300.0,150,44124478.71918981
28,1500.0,600,222041398.8225383
28,8000.0,3000,1169984671.1077228
30,13.0,262144,177165578.6022464
30,15.3,32768,210794227.7248796
30,19.7,4096,272429267.8246282
30,32.3,512,363115852.1133411
30,90.0,18,419426576.93779355
30,90.0,27,410780064.22736156
30,90.0,36,400623806.1845225
30,300.0,150,43920843.392735295
30,1500.0,600,220150355.59271413
30,8000.0,3000,1169591482.826278
32,13.0,262144,156064262.17503017
32,15.3,32768,194275857.3547974
32,19.7,4096,261408384.66091007
32,32.3,512,353698495.4366011
32,90.0,18,415855411.8562524
32,90.0,27,407890626.1097126
32,90.0,36,397237090.79321355
32,300.0,150,43825931.996918395
32,1500.0,600,221007570.5330189
32,8000.0,3000,1173828169.911512
34,13.0,262144,144507028.517242
34,15.3,32768,182611208.787926
34,19.7,4096,244792588.2489902
34,32.3,512,347552212.906666
34,90.0,18,412806479.71894825
34,90.0,27,403804870.265931
34,90.0,36,392373566.0749271
34,300.0,150,44016235.6109939
34,1500.0,600,219687362.65126032
34,8000.0,3000,1169991559.7002883
36,13.0,262144,130577835.47189161
36,15.3,32768,171553521.54177922
36,19.7,4096,233022882.7857538
36,32.3,512,339342719.6417269
36,90.0,18,408131446.4791576
36,90.0,27,398966909.11594784
36,90.0,36,388094447.4956671
36,300.0,150,43737277.2737347
36,1500.0,600,220080492.364161
36,8000.0,3000,1167451520.5215478
38,13.0,262144,116253866.95542249
38,15.3,32768,155821499.895901
38,19.7,4096,219603479.4014565
38,32.3,512,330431475.959618
38,90.0,18,404305150.33696663
38,90.0,27,394887610.6995996
38,90.0,36,384605930.0224566
38,300.0,150,44036913.7805513
38,1500.0,600,221253133.424931
38,8000.0,3000,1170394177.842208
40,13.0,262144,105452811.8917356
40,15.3,32768,144167674.38948318
40,19.7,4096,207911784.2934942
40,32.3,512,323848087.1606776
40,90.0,18,399983942.2877561
40,90.0,27,390955250.15525067
40,90.0,36,378908633.7737617
40,300.0,150,43841796.8354669
40,1500.0,600,220686619.2433648
40,8000.0,3000,1168857566.1144156
